Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments,
Sit,1:40,2:25,MOV00000,ZM_Side,
Breath,2:25,2:41,,,
Sit,2:41,2:44,,,
Breath,2:44,3:00,,,
Breath,0:00,1:14,MOV00001,,
Claw,1:14,1:30,,,
Breath,1:30,3:00,,,
Breath,0:00,1:54,MOV00002,,
Sit,1:54,2:07,,,
Breath,2:07,2:45,,,
Sit,2:45,2:55,,,
Breath,2:55,3:00,,,
Breath,0:00,0:44,MOV00003,,
Claw,0:44,0:51,,,
Breath,0:51,1:11,,,
Claw,1:11,2:58,,,
Breath,2:58,3:00,,,
Breath,0:00,1:48,MOV00004,,
Claw,1:48,2:20,,,
Breath,2:20,2:47,,,
Claw,2:47,3:00,,,
Breath_Claw,0:00,1:41,MOV00005,,
Breath,1:41,3:00,,,
Sit,0:00,0:04,MOV00006,,
Breath,0:04,1:46,,,
Claw,1:46,1:51,,,
Breath,1:51,2:02,,,
Claw,2:02,2:05,,,
Breath,2:05,2:13,,,
Claw,2:13,2:17,,,
Breath,2:17,2:58,,,
Pace,2:58,3:00,,,
Breath,0:00,0:09,MOV00007,,
Claw,0:09,0:12,,,
Breath_Claw,0:12,0:39,,,
Claw,0:39,0:48,,,
Breath_Claw,0:48,2:12,,,
Breath,2:12,2:32,,,
Breath_Claw,2:32,3:00,,,
Breath_Claw,0:00,0:30,MOV00008,,
Breath,0:30,0:57,,,
Pace,0:57,1:02,,,
Breath,1:02,1:13,,,
Breath_Claw,1:13,1:43,,,
Breath,1:43,2:14,,,
Claw,2:14,2:24,,,
Breath_Claw,2:24,2:42,,,
Claw,2:42,2:45,,,
Breath,2:45,3:00,,,
Breath_Claw,0:00,3:00,MOV00009,,
Breath,0:00,0:13,MOV00010,,
Breath_Claw,0:13,0:26,,,
Breath,0:26,0:52,,,
Breath_Claw,0:52,1:26,,Control_Side,
Claw,1:26,2:35,,,
Breath,2:35,3:00,,,
Breath,0:00,3:00,MOV00011,,
Breath,0:00,3:00,MOV00012,,
Breath,0:00,2:51,MOV00013,,
Sit,2:51,2:58,,,
Breath,2:58,3:00,,,
Breath,0:00,3:00,MOV00014,,
Breath,0:00,0:11,MOV00015,,
Pace,0:11,0:20,,,
Breath,0:20,1:14,,,
Claw,1:14,1:17,,,
Breath,1:17,1:23,,,
Pace,1:23,1:25,,ZM_Side,
Breath,1:25,3:00,,,
Breath,0:00,2:39,MOV00016,,
Pace,2:39,2:45,,,
Breath,2:45,3:00,,,
Breath,0:00,1:42,MOV00017,,
Breath_Pace,1:42,1:55,,Control_Side,
Breath,1:55,3:00,,,
Breath,0:00,1:52,MOV00018,,
Pace,1:52,1:58,,,
Breath,1:58,3:00,,,
Breath,0:00,1:23,MOV00019,,
Sit,1:23,1:30,,,
Breath,1:30,1:54,,,
Pace,1:54,1:56,,,
Breath,1:56,3:00,,,
Breath,0:00,3:00,MOV00020,,
Breath,0:00,1:19,MOV00021,,
Pace,1:19,1:21,,,
Breath,1:21,3:00,,,
Breath,0:00,1:23,MOV00022,,
Pace,1:23,1:25,,,
Breath,1:25,1:27,,,
Pace,1:27,1:33,,,
Sit,1:33,1:48,,,
Breath,1:48,3:00,,,
Breath,0:00,0:43,MOV00023,,
Pace,0:43,0:46,,,
Breath,0:46,1:04,,,
Pace,1:04,1:06,,,
Breath,1:06,1:57,,,
Pace,1:57,2:02,,ZM_Side,
Sit,2:02,2:15,,,
Breath,2:15,3:00,,,
Breath,0:00,1:52,MOV00024,,
Pace,1:52,1:56,,,
Breath,1:56,3:00,,,
Breath,0:00,1:50,MOV00025,,
Pace,1:50,1:52,,,
Breath,1:52,2:31,,,
Pace,2:31,2:36,,,
Breath,2:36,3:00,,,
Breath,0:00,0:50,MOV00026,,
Pace,0:50,0:56,,,
Breath,0:56,1:04,,,
Breath_Pace,1:04,1:08,,,
Pace,1:08,1:16,,,
Breath,1:16,2:36,,,
Pace,2:36,2:41,,,
Breath,2:41,2:51,,,
Pace,2:51,2:53,,,
Breath,2:53,3:00,,,
Breath,0:00,0:22,MOV00027,,
Pace,0:22,0:24,,ZM_Side,
Breath,0:24,0:27,,,
Pace,0:27,0:28,,,
Breath,0:28,2:57,,,
Claw,2:57,3:00,,,
Breath,0:00,0:48,MOV00028,,
Claw,0:48,0:49,,,
Breath,0:49,1:11,,,
Pace,1:11,1:13,,Control_Side,
Breath,1:13,1:50,,,
Pace,1:50,1:52,,,
Breath,1:52,1:56,,,
Pace,1:56,2:03,,ZM_Side,
Breath,2:03,2:22,,,
Pace,2:22,2:24,,Control_Side,
Breath,2:24,2:33,,,
Sit,2:33,2:35,,,
Breath,2:35,3:00,,,
Breath,0:00,0:20,MOV00029,,
Pace,0:20,0:22,,,
Breath_Pace,0:22,0:51,,ZM_Side,
Pace,0:51,0:53,,,
Breath_Pace,0:53,1:33,,,
Pace,1:33,1:36,,,
Breath,1:36,1:43,,,
Claw,1:43,1:46,,,
Breath_Claw,1:46,2:45,,,
Breath,2:45,3:00,,,
Breath_Claw,0:00,0:27,MOV00030,Control_Side,
Breath,0:27,0:36,,,
Breath_Claw,0:36,1:16,,,
Breath,1:16,1:24,,,
Breath_Claw,1:24,1:54,,,
Breath,1:54,2:04,,,
Breath_Claw,2:04,2:28,,,
Breath,2:28,2:49,,,
Breath_Claw,2:49,3:00,,,
Breath_Claw,0:00,0:56,MOV00031,,
Breath,0:56,1:06,,,
Breath_Claw,1:06,1:49,,,
Breath,1:49,2:03,,,
Breath_Claw,2:03,3:00,,,
Breath_Claw,0:00,0:34,MOV00032,,
Breath,0:34,0:47,,,
Breath_Claw,0:47,1:00,,,
Claw,1:00,1:24,,,
Breath_Claw,1:24,1:46,,,
Breath,1:46,1:56,,,
Breath_Claw,1:56,2:21,,,
Breath,2:21,2:44,,,
Claw,2:44,3:00,,,
Breath_Claw,0:00,0:30,MOV00033,,
Breath,0:30,0:39,,,
Pace,0:39,0:41,,,
Breath,0:41,0:59,,,
Breath_Claw,0:59,1:32,,,
Breath,1:32,1:39,,,
Breath_Claw,1:39,2:32,,,
Pace,2:32,2:36,,ZM_Side,
Breath,2:36,3:00,,,
Breath_Claw,0:00,0:04,MOV00034,,
Pace,0:04,0:08,,Control_Side,
Breath_Claw,0:08,0:30,,,
Breath,0:30,0:37,,,
Breath_Claw,0:37,0:58,,,
Breath,0:58,1:10,,,
Breath_Claw,1:10,1:48,,,
Breath,1:48,1:58,,,
Breath_Claw,1:58,2:49,,,
Breath,2:49,3:00,,,
Breath_Claw,0:00,0:38,MOV00035,ZM_Side,
Sit,0:38,0:45,,,
Breath,0:45,0:57,,,
Breath_Claw,0:57,1:35,,,
Breath,1:35,1:39,,,
Breath_Claw,1:39,1:44,,,
Breath,1:44,2:12,,,
Pace,2:12,2:19,,,
Breath_Claw,2:19,2:48,,Control_Side,
Breath,2:48,2:53,,,
Breath_Claw,2:53,3:00,,,
Breath_Claw,0:00,1:39,MOV00036,,
Breath,1:39,1:57,,,
Breath,1:57,2:49,,,
Sit,2:49,3:00,,,
Breath,0:00,0:23,MOV00037,,
Breath_Claw,0:23,0:55,,ZM_Side,
Breath,0:55,1:41,,,
Breath_Claw,1:41,2:06,,,
Breath,2:06,2:14,,,
Breath_Claw,2:14,2:55,,,
Breath,2:55,3:00,,,
Breath_Claw,0:00,0:34,MOV00038,,
Breath,0:34,0:42,,,
Pace,0:42,0:49,,Control_Side,
Breath,0:49,1:00,,,
Claw,1:00,1:22,,,
Breath_Claw,1:22,1:50,,,
Breath,1:50,2:09,,,
Breath_Claw,2:09,2:17,,,
Breath,2:17,2:27,,,
Pace,2:27,2:35,,ZM_Side,
Smelled_ZM,2:35,2:39,,,
Bit_At_ZM,2:39,2:45,,,
Ate_ZM,2:45,3:00,,,
Ate_ZM,0:00,0:11,MOV00039,,
Breath,0:11,0:16,,,
Sit,0:16,0:28,,,
Breath,0:28,0:38,,,
Claw,0:38,0:45,,,
Breath,0:45,0:54,,,
Claw,0:54,0:58,,,
Breath,0:58,2:41,,,
Breath_Pace,2:41,2:44,,,
Pace,2:44,2:46,,Control_Side,
Breath,2:46,3:00,,,
Pace,0:00,0:16,MOV00040,,
Breath,0:16,1:17,,,
Ate_Snail,1:17,1:33,,,
Breath_Pace,1:33,1:37,,,
Bit_At_ZM,1:37,1:47,,,
Ate_ZM,1:47,1:53,,,
Spit_Out_ZM,1:53,1:57,,,
Breath,1:57,3:00,,,
Breath,0:00,0:50,MOV00041,,
Pace,0:50,0:58,,,
Bit_At_ZM,0:58,1:44,,,
Breath,1:44,1:54,,,
Bit_At_ZM,1:54,2:02,,,
Pace,2:02,2:07,,,
Breath,2:07,2:29,,,
Pace,2:29,2:39,,,
Breath,2:39,2:57,,,
Pace,2:57,3:00,,,
Sit,0:00,0:02,MOV00042,,
Breath,0:02,0:09,,,
Sit,0:09,0:12,,,
Breath,0:12,0:17,,,
Pace,0:17,0:29,,ZM_Side,
Breath,0:29,2:27,,,
Claw,2:27,2:35,,,
Breath,2:35,2:42,,,
Pace,2:42,2:53,,Control_Side,
Breath,2:53,3:00,,,
Pace,0:00,0:14,MOV00043,,
Breath,0:14,1:11,,,
Pace,1:11,1:27,,,
Breath,1:27,1:32,,,
Pace,1:32,1:50,,,
Breath,1:50,2:27,,,
Pace,2:27,2:46,,ZM_Side,
Breath,2:46,3:00,,,
Breath,0:00,0:07,MOV00044,,
Pace,0:07,0:22,,Control_Side,
Breath,0:22,0:30,,,
Pace,0:30,0:38,,ZM_Side,
Breath,0:38,3:00,,,
Breath,0:00,1:07,MOV00045,,
Breath_Pace,1:07,1:13,,,
Pace,1:13,1:19,,,
Breath,1:19,1:35,,DONE,People walked in
,,,,,
