Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Breath,5:16,5:58,GOPR0213,ZM_Side
Claw,5:58,7:14,,
Breath,7:14,9:11,,
Claw,9:11,10:09,,
Breath,10:09,10:27,,
Claw,10:27,12:14,,
Breath,12:14,13:04,,
Claw,13:04,13:39,,
Breath,13:39,14:04,,
Breath_Claw,14:04,17:34,,
Breath,0:00,0:17,GP010213,
Claw,0:17,1:12,,
Breath_Claw,1:12,6:11,,
Smelled_ZM,6:11,6:30,,
Bit_At_ZM,6:30,7:09,,
Pace,7:09,7:49,,
Breath_Claw,7:49,8:58,,
Pace,8:58,9:03,,
Claw,9:03,9:39,,
Breath,9:39,10:46,,
Pace,10:46,11:25,,
Claw,11:25,11:54,,
Breath,11:54,12:41,,
Claw,12:41,14:21,,People_Walked_In
Ate_Snail,14:21,14:34,,At_14:13
Claw,14:34,16:08,,
Breath,16:08,17:34,,
Breath,0:00,0:19,GP020213,
Claw,0:19,1:17,,
Breath,1:17,2:14,,
Breath_Claw,2:14,4:16,,Control_Side
Breath,4:16,5:15,,
Claw,5:15,6:34,,
Breath,6:34,7:07,,
Claw,7:07,7:45,,
Breath,7:45,9:29,,
Claw,9:29,10:20,,
Breath,10:20,11:46,,
Claw,11:46,12:33,,ZM_Side
Breath,12:33,12:56,,
Claw,12:56,13:08,,
Breath,13:08,13:40,,
Claw,13:40,14:48,,
Breath,14:48,17:34,,
Breath,0:00,0:20,GP030213,
Claw,0:20,0:48,,
Breath,0:48,4:29,,
Pace,4:29,4:58,,
Ate_Snail,4:58,5:44,,
Claw,5:44,5:55,,
Breath,5:55,7:09,,
Claw,7:09,9:27,,
Breath,9:27,10:56,,
Claw,10:56,14:09,,Cotnrol_Side
Breath,14:09,14:57,,
Claw,14:57,16:15,,
Breath,16:15,17:05,,
Pace,17:05,17:34,,ZM_Side
Claw,0:00,1:13,GP040213,
Breath,1:13,3:55,,
Claw,3:55,4:51,,
Breath,4:51,5:51,,
Claw,5:51,6:52,,
Breath,6:52,10:33,,
Claw,10:33,12:01,,
Breath,12:01,17:34,,
Breath,0:00,3:12,GP050213,
Claw,3:12,4:41,,
Breath,4:41,7:33,,
Claw,7:33,8:59,,
Breath,8:59,9:40,,
Claw,9:40,10:30,,
Breath,10:30,10:39,,
Claw,10:39,10:51,,
Breath,10:51,12:51,,
Claw,12:51,14:36,,
Breath,14:36,15:50,,END
