Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments,
Claw,4:04,7:40,GOPR0210,Control_Side,
Breath,7:40,8:30,,,
Sit,8:30,8:44,,,
Claw,8:44,17:35,,,
Claw,0:00,2:01,GP010210,,
Breath,2:01,3:32,,,
Claw,3:32,3:59,,Control_Side,Snail_Floating
Sit,3:59,4:08,,Saw_Snail,
Ate_Snail,4:08,4:12,,,
Claw,4:12,6:19,,,
Breath,6:19,7:14,,,
Claw,7:14,8:02,,,
Breath,8:02,8:24,,,
Claw,8:24,9:06,,,
Breath,9:06,9:30,,,
Claw,9:30,10:44,,,
Breath,10:44,11:24,,,
Claw,11:24,11:53,,,
Pace,11:53,12:11,,Smelled_ZM,ZM_Side
Breath,12:11,12:42,,,
Pace,12:42,12:55,,,
Breath,12:55,13:06,,,
Claw,13:06,13:30,,,
Breath,13:30,13:39,,,
Sit,13:39,13:43,,,
Ate_Snail,13:43,13:50,,,
Claw,13:50,14:07,,,
Breath,14:07,14:14,,,
Pace,14:14,14:25,,,
Breath,14:25,14:42,,,
Pace,14:42,14:56,,ZM_Side,
Sit,14:56,14:59,,Smelled_ZM,
Ate_ZM,14:59,15:49,,Spit_Out_And_Ate_Again,
Bit_At_ZM,15:49,16:03,,,
Ate_ZM,16:03,16:17,,,
Bit_At_ZM,16:17,16:23,,,
Spit_Out_ZM,16:23,16:28,,,
Breath,16:28,16:32,,,
Sit,16:32,16:35,,,
Ate_ZM,16:35,16:41,,,
Spit_Out_ZM,16:41,16:42,,,
Sit,16:42,16:50,,,
Breath,16:50,17:07,,,
Pace,17:07,17:21,,Control_Side,
Claw,17:21,17:27,,,
Pace,17:27,17:34,,ZM_Side,
Sit,0:00,0:03,GP020210,ZM_Side,
Breath,0:03,0:09,,,
Smelled_ZM,0:09,0:14,,,
Breath,0:14,0:20,,,
Pace,0:20,0:36,,Control_Side,
Breath,0:36,0:41,,,
Pace,0:41,0:50,,ZM_Side,
Breath,0:50,0:57,,,
Claw,0:57,1:00,,Control_Side,
Breath_Claw,1:00,1:13,,,
Pace,1:13,1:23,,ZM_Side,
Breath,1:23,1:33,,,
Sit,1:33,1:40,,,
Bit_At_ZM,1:40,1:49,,,
Ate_ZM,1:49,1:54,,,
Spit_Out_ZM,1:54,1:55,,,
Breath,1:55,2:02,,,
Smelled_ZM,2:02,2:07,,,
Breath,2:07,2:15,,,
Pace,2:15,2:39,,,
Breath,2:39,2:45,,,
Sit,2:45,2:48,,,
Ate_Snail,2:48,2:54,,,
Breath,2:54,2:57,,,
Pace,2:57,3:17,,,
Breath_Claw,3:17,3:23,,,
Pace,3:23,3:36,,Control_Side,
Breath,3:36,3:44,,,
Pace,3:44,3:51,,ZM_Side,
Breath,3:51,3:54,,,
Claw,3:54,3:58,,,
Breath,3:58,4:12,,,
Pace,4:12,4:16,,,
Breath_Claw,4:16,4:19,,,
Pace,4:19,4:24,,,
Breath_Claw,4:24,4:32,,,
Pace,4:32,4:37,,,
Breath,4:37,4:40,,,
Breath_Claw,4:40,4:53,,,
Claw,4:53,5:11,,Control_Side,
Breath_Claw,5:11,5:20,,,
Pace,5:20,6:27,,,
Breath,6:27,6:40,,,
Claw,6:40,6:49,,,
Breath_Claw,6:49,6:58,,,
Pace,6:58,7:38,,,
Breath,7:38,7:45,,,
Breath_Claw,7:45,8:50,,,
Breath,8:50,9:04,,,
Breath_Claw,9:04,10:18,,,
Breath,10:18,10:27,,,
Claw,10:27,10:56,,,
Breath,10:56,11:03,,,
Claw,11:03,11:17,,,
Breath_Claw,11:17,11:22,,,
Pace,11:22,11:50,,,
Claw,11:50,12:04,,,
Breath,12:04,12:21,,,
Claw,12:21,12:50,,,
Breath,12:50,12:57,,,
Claw,12:57,13:28,,,
Breath,13:28,13:32,,,
Claw,13:32,14:04,,,
Breath_Claw,14:04,14:17,,,
Pace,14:17,14:55,,,
Breath,14:55,15:01,,,
Pace,15:01,15:09,,,
Breath,15:09,15:24,,,
Claw,15:24,16:16,,,
Breath_Claw,16:16,16:21,,,
Claw,16:21,16:37,,,
Breath,16:37,17:05,,,
Claw,17:05,17:21,,,
Breath,17:21,17:34,,,
Claw,0:00,0:17,GP030210,Control_Side,
Breath_Claw,0:17,0:23,,,
Claw,0:23,0:42,,,
Breath,0:42,0:54,,,
Claw,0:54,1:05,,,
Breath,1:05,1:11,,,
Breath_Claw,1:11,1:53,,,
Breath,1:53,1:58,,,
Pace,1:58,2:04,,,
Claw,2:04,2:35,,,
Breath,2:35,2:47,,,
Claw,2:47,3:53,,,
Breath,3:53,3:59,,,
Claw,3:59,4:28,,,
Breath_Claw,4:28,4:33,,,
Claw,4:33,5:07,,,
Breath,5:07,5:22,,,
Claw,5:22,5:53,,,
Breath,5:53,6:09,,,
Pace,6:09,6:18,,ZM_Side,
Breath,6:18,6:21,,,
Pace,6:21,6:41,,Control_Side,
Breath_Claw,6:41,6:46,,,
Claw,6:46,7:09,,,
Breath,7:09,7:13,,,
Claw,7:13,7:50,,,
Breath,7:50,8:03,,,
Pace,8:03,9:10,,ZM_Side,
Breath,9:10,9:14,,,
Pace,9:14,9:41,,,
Breath,9:41,9:48,,,
Pace,9:48,10:30,,,
Claw,10:30,10:50,,,
Breath,10:50,10:57,,,
Pace,10:57,11:44,,,
Breath,11:44,11:57,,,
Claw,11:57,12:18,,Control_Side,
Breath,12:18,12:29,,,
Claw,12:29,12:57,,,
Breath,12:57,13:05,,,
Claw,13:05,13:36,,,
Breath,13:36,13:42,,,
Claw,13:42,13:48,,,
Breath,13:48,13:53,,,
Claw,13:53,14:10,,,
Breath,14:10,14:19,,,
Claw,14:19,14:33,,,
Breath,14:33,14:37,,,
Claw,14:37,15:21,,,
Breath,15:21,15:34,,,
Claw,15:34,15:57,,,
Breath,15:57,16:03,,,
Pace,16:03,16:13,,ZM_Side,
Breath,16:13,16:20,,,
Claw,16:20,16:40,,,
Breath,16:40,16:44,,,
Breath_Claw,16:44,17:31,,,
Breath,17:31,17:34,,,
Breath,0:00,0:02,GP040210,ZM_Side,
Pace,0:02,0:23,,,
Breath,0:23,0:29,,,
Claw,0:29,1:04,,,
Breath,1:04,1:12,,,
Claw,1:12,1:39,,,
Breath_Claw,1:39,2:05,,,
Pace,2:05,2:11,,,
Breath,2:11,2:22,,,
Claw,2:22,3:55,,,
Breath,3:55,4:02,,,
Pace,4:02,4:13,,,
Breath_Claw,4:13,4:17,,,
Claw,4:17,4:53,,,
Breath,4:53,4:59,,,
Pace,4:59,5:03,,,
Breath,5:03,5:15,,,
Pace,5:15,5:45,,Control_Side,
Breath,5:45,5:59,,,
Pace,5:59,6:15,,,
Breath,6:15,6:28,,,
Claw,6:28,6:57,,ZM_Side,
Breath,6:57,7:01,,,
Claw,7:01,7:32,,Control_Side,
Breath,7:32,7:44,,,
Pace,7:44,7:52,,,
Breath,7:52,7:55,,,
Claw,7:55,8:26,,,
Breath,8:26,8:34,,,
Claw,8:34,8:58,,ZM_Side,
Breath,8:58,9:07,,,
Pace,9:07,9:58,,,
Breath,9:58,10:12,,,
Pace,10:12,10:33,,,
Breath,10:33,10:45,,,
Claw,10:45,11:04,,,
Pace,11:04,11:14,,,
Claw,11:14,11:28,,,
Breath,11:28,11:33,,,
Claw,11:33,11:48,,,
Breath,11:48,11:51,,,
Pace,11:51,13:17,,,
Breath,13:17,13:29,,,
Pace,13:29,13:36,,,
Breath,13:36,13:44,,,
Pace,13:44,14:26,,Control_Side,
Claw,14:26,15:03,,,
Breath,15:03,15:10,,,
Pace,15:10,15:18,,,
Breath,15:18,15:23,,,
Pace,15:23,16:05,,ZM_Side,
Breath,16:05,16:14,,,
Pace,16:14,17:06,,,
Breath,17:06,17:23,,,
Claw,17:23,17:34,,Control_Side,
Pace,0:00,0:26,GP050210,ZM_Side,
Breath,0:26,0:35,,,
Claw,0:35,0:55,,,
Breath,0:55,1:05,,,
Claw,1:05,1:48,,,
Breath,1:48,1:54,,,
Claw,1:54,2:07,,,
Breath,2:07,2:12,,,
Claw,2:12,2:44,,,
Breath,2:44,2:49,,,
Claw,2:49,3:31,,,
Breath,3:31,3:43,,,
Claw,3:43,4:33,,,
Breath,4:33,4:48,,,
Claw,4:48,5:12,,,
Breath_Claw,5:12,5:20,,,
Pace,5:20,5:35,,,
Breath_Claw,5:35,5:42,,,
Claw,5:42,6:03,,Control_Side,
Breath_Claw,6:03,6:08,,,
Claw,6:08,6:31,,,
Breath_Claw,6:31,6:55,,,
Claw,6:55,8:18,,,
Breath_Claw,8:18,8:28,,,
Claw,8:28,8:51,,,
Breath,8:51,9:01,,,
Claw,9:01,9:25,,,
Breath,9:25,9:36,,,
Claw,9:36,10:26,,ZM_Side,
Breath,10:26,10:33,,,
Claw,10:33,11:44,,Control_Side,
Breath,11:44,11:52,,,
Claw,11:52,12:07,,,
