Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Sit,3:58,5:51,GOPR0209,Control_Side
Breath,5:51,7:34,,
Pace,7:34,7:43,,
Breath,7:43,8:35,,
Sit,8:35,8:40,,
Breath,8:40,9:20,,
Claw,9:20,10:15,,
Breath,10:15,11:14,,
Pace,11:14,11:20,,
Breath,11:20,11:37,,
Pace,11:37,11:41,,
Breath,11:41,12:06,,
Claw,12:06,12:35,,
Breath,12:35,13:12,,
Pace,13:12,13:21,,ZM_Side
Breath,13:21,13:31,,
Claw,13:31,14:26,,
Breath,14:26,14:44,,
Claw,14:44,15:23,,
Breath,15:23,15:41,,
Claw,15:41,16:38,,
Breath,16:38,17:01,,
Claw,17:01,17:34,,
Claw,0:00,0:38,GP010209,Control_Side
Breath,0:38,0:48,,
Claw,0:48,4:21,,
Breath,4:21,4:32,,
Breath_Claw,4:32,6:24,,
Breath,6:24,6:38,,
Breath_Claw,6:38,7:49,,
Sit,7:49,8:02,,
Claw,8:02,8:39,,
Breath,8:39,9:21,,
Breath_Claw,9:21,10:40,,
Breath,10:40,10:57,,
Breath_Claw,10:57,13:24,,
Breath,13:24,13:32,,
Breath_Claw,13:32,14:31,,
Breath,14:31,14:51,,
Breath_Claw,14:51,15:46,,
Breath,15:46,15:57,,
Breath_Claw,15:57,17:34,,
Breath_Claw,0:00,3:41,GP020209,Control_Side
Breath,3:41,3:55,,
Breath_Claw,3:55,5:43,,
Breath,5:43,5:57,,
Breath_Claw,5:57,6:38,,
Breath,6:38,6:57,,
Breath_Claw,6:57,9:00,,
Breath,9:00,10:15,,
Breath_Claw,10:15,14:19,,
Breath,14:19,14:36,,
Breath_Claw,14:36,15:45,,
Breath,15:45,16:04,,
Breath_Claw,16:04,17:34,,
Claw,0:00,0:20,GP030209,
Breath,0:20,1:28,,
Claw,1:28,1:52,,
Breath,1:52,2:11,,
Breath_Claw,2:11,4:31,,
Breath,4:31,4:54,,
Breath_Claw,4:54,5:37,,
Breath,5:37,5:49,,
Claw,5:49,6:04,,
Breath,6:04,6:54,,
Breath_Claw,6:54,8:55,,
Breath,8:55,9:03,,
Claw,9:03,10:07,,
Breath,10:07,10:31,,
Breath_Claw,10:31,11:57,,
Breath,11:57,12:41,,
Breath_Claw,12:41,15:29,,
Breath,15:29,15:45,,
Breath_Claw,15:45,17:34,,
Breath_Claw,0:00,0:19,GP040209,
Breath,0:19,0:47,,
Breath_Claw,0:47,3:41,,
Breath,3:41,3:55,,
Breath_Claw,3:55,6:46,,
Breath,6:46,7:13,,
Breath_Claw,7:13,9:43,,
Breath,9:43,10:01,,
Claw,10:01,10:48,,
Breath,10:48,11:06,,
Claw,11:06,11:44,,ZM_Side
Breath,11:44,11:51,,
Breath_Claw,11:51,15:09,,
Breath,15:09,15:36,,
Breath_Claw,15:36,17:34,,
Breath_Claw,0:00,1:07,GP050209,
Breath,1:07,1:28,,
Breath_Claw,1:28,2:10,,
Breath,2:10,2:46,,
Breath_Claw,2:46,4:30,,
Breath,4:30,5:02,,
Breath_Claw,5:02,5:58,,
Breath,5:58,6:09,,
Breath_Claw,6:09,8:43,,
Breath,8:43,8:55,,
Breath_Claw,8:55,14:56,,
Breath,14:56,15:15,,
Breath_Claw,15:15,15:52,,
Breath,15:52,16:08,,
Claw,16:08,16:43,,
Breath,16:43,16:58,,
Claw,16:58,17:34,,
Claw,0:00,0:08,GP060209,
Breath,0:08,0:47,,
Claw,0:47,1:53,,
Breath,1:53,2:13,,
Breath_Claw,2:13,6:27,,
Breath,6:27,6:44,,
Claw,6:44,8:20,,
Breath,8:20,8:52,,
Breath_Claw,8:52,10:26,,
Breath,10:26,10:55,,
Breath_Claw,10:55,12:01,,
Breath,12:01,12:19,,
Breath_Claw,12:19,13:55,,
Breath,13:55,14:20,,
Claw,14:20,15:31,,
Breath,15:31,16:03,,
Breath_Claw,16:03,17:34,,
Breath,0:00,0:11,GP070209,
Claw,0:11,0:45,,
Breath,0:45,1:03,,
Breath_Claw,1:03,4:23,,
Breath,4:23,4:53,,
Claw,4:53,5:27,,
Breath,5:27,5:59,,
Claw,5:59,6:50,,
Breath,6:50,7:05,,
Breath_Claw,7:05,8:55,,
Breath,8:55,9:26,,
Breath_Claw,9:26,10:29,,
Breath,10:29,10:53,,
Claw,10:53,11:40,,
Breath,11:40,12:08,,
Claw,12:08,12:47,,
Breath,12:47,13:10,,
Breath_Claw,13:10,14:31,,
Breath,14:31,14:51,,
Claw,14:51,15:23,,
Breath,15:23,15:31,,
Claw,15:31,15:44,END,
