Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Sit,1:16,1:23,SUNP0002,ZM_Side
Breath,1:23,1:41,,
Claw,1:41,2:54,,
Breath,2:54,3:00,,
Breath,0:00,1:08,SUNP0003,
Sit,1:08,2:23,,
Breath,2:23,2:55,,
Sit,2:55,3:00,,
Pace,0:00,0:58,SUNP0004,
Breath,0:58,1:17,,
Claw,1:17,2:27,,
Sit,2:27,2:56,,
Breath,2:56,3:00,,
Breath,0:00,0:19,SUNP0005,
Claw,0:19,1:08,,
Breath,1:08,1:45,,
Claw,1:45,2:28,,
Breath,2:28,3:00,,
Breath,0:00,0:32,SUNP0006,
Claw,0:32,1:53,,
Breath,1:53,2:11,,
Claw,2:11,2:36,,
Breath,2:36,3:00,,
Breath,0:00,0:02,SUNP0007,
Claw,0:02,0:54,,
Breath,0:54,2:04,,
Sit,2:04,2:27,,
Claw,2:27,3:00,,
Breath,0:00,0:21,SUNP0008,
Pace,0:21,1:03,,
Breath,1:03,1:17,,
Pace,1:17,1:34,,
Breath,1:34,2:43,,
Pace,2:43,3:00,,
Sit,0:00,0:15,SUNP0009,
Breath,0:15,0:33,,
Claw,0:33,0:51,,
Breath,0:51,1:08,,
Claw,1:08,1:51,,
Breath,1:51,3:00,,
Breath,0:00,0:23,SUNP0010,
Claw,0:23,1:11,,
Breath,1:11,2:24,,
Sit,2:24,3:00,,
Sit,0:00,1:33,SUNP0011,
Breath,1:33,3:00,,
Breath,0:00,0:05,SUNP0012,
Claw,0:05,1:27,,
Breath,1:27,3:00,,
Claw,0:00,0:31,SUNP0013,
Breath,0:31,2:29,,
Pace,2:29,2:56,,
Breath,2:56,3:00,,
Breath,0:00,0:30,SUNP0014,
Claw,0:30,1:32,,
Breath,1:32,3:00,,
Breath,0:00,0:42,SUNP0015,
Sit,0:42,2:17,,
Breath,2:17,3:00,,
Breath,0:00,0:39,SUNP0016,
Sit,0:39,1:11,,
Breath,1:11,1:33,,
Claw,1:33,3:00,,
Claw,0:00,2:17,SUNP0017,
Breath,2:17,3:00,,
Breath,0:00,0:05,SUNP0018,
Claw,0:05,1:13,,
Breath,1:13,2:23,,
Sit,2:23,3:00,,
Sit,0:00,0:28,SUNP0019,
Breath,0:28,0:56,,
Sit,0:56,1:43,,
Breath,1:43,2:08,,
Sit,2:08,3:00,,
Sit,0:00,0:14,SUNP0020,
Breath,0:14,1:06,,
Sit,1:06,1:35,,
Breath,1:35,3:00,,
Breath,0:00,0:03,SUNP0021,
Pace,0:03,0:48,,
Claw,0:48,3:00,,
Claw,0:00,0:30,SUNP0022,
Breath,0:30,1:42,,
Claw,1:42,2:10,,
Breath,2:10,3:00,,
Breath,0:00,0:58,SUNP0023,
Sit,0:58,1:21,,
Breath,1:21,2:35,,
Pace,2:35,3:00,,
Sit,0:00,0:08,SUNP0024,
Breath,0:08,1:19,,
Claw,1:19,1:50,,
Breath,1:50,2:47,,
Pace,2:47,3:00,,
Claw,0:00,1:05,SUNP0025,
Sit,1:05,2:05,,
Breath,2:05,2:57,,
Sit,2:57,3:00,,
Claw,0:00,0:32,SUNP0026,
Breath,0:32,0:56,,
Claw,0:56,1:51,,
Breath,1:51,2:33,,
Ate_Snail,2:33,3:00,,
Ate_Snail,0:00,0:08,SUNP0027,
Breath,0:08,0:25,,
Claw,0:25,1:03,,
Breath,1:03,3:00,,
Breath,0:00,0:17,SUNP0028,
Pace,0:17,0:44,,
Breath,0:44,1:20,,
Claw,1:20,1:59,,
Breath,1:59,3:00,,
Breath,0:00,0:35,SUNP0029,
Sit,0:35,1:12,,
Breath,1:12,1:56,,
Claw,1:56,3:00,,
Claw,0:00,0:29,SUNP0030,
Breath,0:29,1:12,,
Pace,1:12,1:31,,
Breath,1:31,2:37,,
Claw,2:37,3:00,,
Claw,0:00,0:58,SUNP0031,
Breath,0:58,1:40,,
Pace,1:40,2:18,,
Breath,2:18,3:00,,
Breath,0:00,0:44,SUNP0032,
Claw,0:44,1:37,,
Breath,1:37,3:00,,
Breath,0:00,1:22,SUNP0033,
Claw,1:22,2:02,,
Breath,2:02,3:00,,
Breath,0:00,0:52,SUNP0034,
Pace,0:52,1:01,,
Breath,1:01,1:42,,
Claw,1:42,2:03,,
Breath,2:03,3:00,,
Breath,0:00,0:56,SUNP0035,
Pace,0:56,1:07,,
Breath,1:07,1:49,,
Claw,1:49,2:13,,
Breath,2:13,3:00,,
Breath,0:00,0:22,SUNP0036,
Claw,0:22,1:04,,
Breath,1:04,1:45,,
Sit,1:45,2:16,,
Breath,2:16,3:00,,
Breath,0:00,1:29,SUNP0037,
Pace,1:29,1:40,,
Breath,1:40,2:06,,
Claw,2:06,2:52,,
Breath,2:52,3:00,,
Breath,0:00,1:11,SUNP0038,
Sit,1:11,1:25,,
Ate_Snail,1:25,2:01,,
Breath,2:01,3:00,,
Breath,0:00,0:10,SUNP0039,
Sit,0:10,1:51,,
Breath,1:51,3:00,,
Breath,0:00,0:20,SUNP0040,
Claw,0:20,1:17,,
Breath,1:17,2:56,,
Sit,2:56,3:00,,
Sit,0:00,0:24,SUNP0041,
Breath,0:24,0:31,,END
