Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Pace,4:04,4:11,GOPR0210,Control_Side
Breath,4:11,4:38,,
Pace,4:38,4:47,,
Claw,4:47,5:07,,
Breath,5:07,5:16,,
Claw,5:16,5:54,,
Pace,5:54,6:00,,
Breath,6:00,6:11,,
Pace,6:11,6:16,,
Claw,6:16,6:24,,
Breath,6:24,6:36,,
Pace,6:36,6:40,,
Breath,6:40,6:47,,
Claw,6:47,7:02,,
Breath,7:02,7:09,,
Pace,7:09,7:21,,
Claw,7:21,8:13,,
Breath,8:13,8:27,,
Claw,8:27,8:40,,
Breath,8:40,8:54,,
Claw,8:54,9:38,,
Breath,9:38,10:02,,
Claw,10:02,10:48,,
Breath,10:48,11:04,,
Claw,11:04,11:23,,
Breath,11:23,11:31,,
Claw,11:31,11:46,,
Breath,11:46,12:06,,
Claw,12:06,12:26,,
Pace,12:26,13:05,,
Claw,13:05,13:16,,
Breath,13:16,13:26,,
Claw,13:26,14:14,,
Breath,14:14,14:32,,
Claw,14:32,14:44,,
Pace,14:44,14:49,,
Breath,14:49,14:58,,ZM_Side
Pace,14:58,15:10,,Control_Side
Claw,15:10,15:27,,
Breath_Claw,15:27,15:36,,
Claw,15:36,15:57,,
Breath,15:57,16:05,,
Claw,16:05,16:22,,
Pace,16:22,16:26,,
Breath,16:26,16:34,,
Pace,16:34,16:40,,
Breath_Claw,16:40,17:33,,
Breath,17:33,17:34,,
Breath,0:00,0:18,GP010210,
Claw,0:18,1:02,,
Breath,1:02,1:12,,
Claw,1:12,1:46,,
Breath,1:46,1:55,,
Claw,1:55,3:02,,
Breath,3:02,3:08,,
Claw,3:08,3:18,,
Breath_Claw,3:18,3:26,,
Claw,3:26,3:53,,
Breath,3:53,3:59,,
Claw,3:59,4:07,,
Breath,4:07,4:11,,
Claw,4:11,4:26,,
Pace,4:26,4:31,,
Claw,4:31,4:37,,
Sit,4:37,4:44,,
Breath,4:44,5:07,,
Pace,5:07,5:12,,
Claw,5:12,5:29,,
Breath,5:29,5:49,,
Pace,5:49,6:23,,ZM_Side
Breath,6:23,7:31,,
Pace,7:31,8:09,,Control_Side
Claw,8:09,8:55,,
Breath,8:55,9:18,,
Claw,9:18,10:15,,
Breath,10:15,10:38,,
Pace,10:38,10:44,,
Breath,10:44,10:54,,
Pace,10:54,11:28,,
Breath,11:28,11:34,,
Pace,11:34,11:52,,ZM_Side
Breath,11:52,12:20,,
Pace,12:20,12:27,,Control_Side
Breath,12:27,12:40,,
Claw,12:40,13:06,,
Breath,13:06,13:16,,
Claw,13:16,14:22,,
Breath,14:22,14:37,,
Claw,14:37,14:50,,
Breath,14:50,15:06,,
Pace,15:06,15:10,,
Breath,15:10,15:33,,
Claw,15:33,15:48,,
Breath,15:48,15:58,,
Claw,15:58,16:19,,
Breath_Claw,16:19,16:36,,
Claw,16:36,16:46,,
Breath_Claw,16:46,16:53,,
Claw,16:53,17:11,,
Breath,17:11,17:18,,
Claw,17:18,17:34,,
Breath,0:00,0:03,GP020210,Control_Side
Claw,0:03,0:28,,
Breath,0:28,0:39,,
Claw,0:39,1:07,,
Breath,1:07,1:20,,
Pace,1:20,1:31,,
Breath,1:31,1:42,,
Claw,1:42,2:14,,
Breath,2:14,2:27,,
Claw,2:27,2:40,,
Pace,2:40,2:44,,
Breath,2:44,2:58,,
Pace,2:58,3:23,,ZM_Side_And_Back
Breath,3:23,3:31,,
Claw,3:31,4:00,,
Breath,4:00,4:07,,
Claw,4:07,4:28,,
Breath,4:28,4:36,,
Claw,4:36,5:22,,
Breath,5:22,5:51,,
Pace,5:51,6:10,,
Breath,6:10,6:18,,
Claw,6:18,6:43,,
Breath,6:43,6:57,,
Claw,6:57,7:15,,
Breath,7:15,7:26,,
Pace,7:26,7:32,,
Breath_Pace,7:32,7:53,,
Claw,7:53,8:41,,
