Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Breath,0:00,0:09,GP010206,Control_Side
Claw,0:09,0:25,,
Breath,0:25,0:29,,
Claw,0:29,0:45,,ZM_Side
Breath,0:45,0:53,,Control_Side
Claw,0:53,1:01,,
Breath,1:01,1:07,,
Claw,1:07,1:41,,ZM_Side
Breath,1:41,1:50,,Control_Side
Sit,1:50,2:09,,
Claw,2:09,2:30,,
Breath,2:30,2:52,,
Claw,2:52,3:19,,
Breath,3:19,3:35,,
Claw,3:35,3:54,,
Breath,3:54,4:08,,
Claw,4:08,4:19,,
Breath,4:19,4:29,,
Claw,4:29,4:33,,
Breath,4:33,4:43,,
Claw,4:43,4:49,,ZM_Side
Breath,4:49,4:55,,
Pace,4:55,4:58,,Control_Side
Breath,4:58,5:02,,
Breath_Claw,5:02,5:05,,
Claw,5:05,5:20,,
Breath,5:20,5:29,,
Pace,5:29,5:41,,ZM_Side
Claw,5:41,5:51,,
Pace,5:51,5:52,,Control_Side
Breath,5:52,6:04,,
Claw,6:04,6:35,,ZM_Side
Breath,6:35,6:43,,
Pace,6:43,6:50,,
Claw,6:50,7:21,,Control_Side
Breath_Claw,7:21,7:35,,
Claw,7:35,7:49,,
Breath_Claw,7:49,8:00,,
Claw,8:00,8:28,,
Breath_Claw,8:28,8:38,,
Claw,8:38,8:47,,
Breath_Claw,8:47,8:49,,
Pace,8:49,9:15,,ZM_Side
Breath,9:15,9:26,,Control_Side
Claw,9:26,9:34,,
Breath_Claw,9:34,9:39,,
Claw,9:39,10:08,,
Breath_Claw,10:08,10:20,,
Claw,10:20,10:46,,
Breath,10:46,10:50,,
Claw,10:50,11:11,,
Breath,11:11,11:17,,
Claw,11:17,11:23,,ZM_Side
Breath_Claw,11:23,11:30,,
Claw,11:30,11:41,,Control_Side
Breath,11:41,12:27,,
Claw,12:27,12:38,,
Breath_Claw,12:38,13:01,,
Sit,13:01,13:03,,
Claw,13:03,13:15,,
Breath_Claw,13:15,13:23,,
Breath,13:23,13:29,,
Breath_Claw,13:29,13:33,,
Claw,13:33,13:41,,
Breath_Claw,13:41,13:49,,
Claw,13:49,14:04,,
Breath_Claw,14:04,14:14,,
Claw,14:14,14:27,,
Breath_Claw,14:27,14:42,,ZM_Side
Breath,14:42,15:04,,
Sit,15:04,15:08,,
Breath,15:08,15:18,,
Pace,15:18,15:23,,
Breath,15:23,15:52,,
Pace,15:52,16:02,,Control_Side
Breath_Claw,16:02,16:20,,
Claw,16:20,16:37,,
Breath_Claw,16:37,16:45,,
Claw,16:45,16:51,,
Breath_Claw,16:51,16:57,,
Claw,16:57,17:12,,
Breath,17:12,17:26,,
Pace,17:26,17:30,,ZM_Side
Breath,17:30,17:34,,
Breath,0:00,0:09,GP020206,ZM_Side
Claw,0:09,0:24,,
Breath_Claw,0:24,0:32,,
Pace,0:32,0:35,,Control_Side
Breath,0:35,1:10,,
Claw,1:10,1:27,,ZM_Side
Breath,1:27,1:32,,
Claw,1:32,1:46,,Control_Side
Breath,1:46,1:50,,
Pace,1:50,1:57,,ZM_Side
Breath,1:57,2:30,,
Claw,2:30,2:44,,Control_Side
Breath,2:44,2:53,,
Claw,2:53,3:17,,ZM_Side
Breath,3:17,3:25,,
Saw_Snail,3:25,3:40,,Followed_Snail
Breath,3:40,4:19,,
Claw,4:19,4:23,,
Breath,4:23,4:27,,
Pace,4:27,4:34,,
Claw,4:34,4:37,,Control_Side
Breath,4:37,4:46,,
Claw,4:46,5:04,,
Breath,5:04,5:08,,
Pace,5:08,5:16,,
Breath,5:16,5:53,,
Claw,5:53,6:21,,ZM_Side
Breath,6:21,6:23,,
Claw,6:23,6:54,,Control_Side
Breath_Claw,6:54,6:58,,
Claw,6:58,7:30,,
Breath,7:30,7:36,,
Breath_Claw,7:36,9:08,,
Pace,9:08,9:14,,ZM_Side
Breath,9:14,9:34,,
Pace,9:34,9:42,,
Claw,9:42,11:07,,Control_Side
Breath,11:07,11:14,,
Claw,11:14,11:51,,
Sit,11:51,12:33,,
Breath,12:33,13:06,,
Claw,13:06,14:01,,
Breath,14:01,14:28,,
Claw,14:28,15:02,,
Breath,15:02,15:09,,
Claw,15:09,15:31,,
Breath,15:31,15:47,,
Claw,15:47,15:54,,
Breath,15:54,15:59,,
Claw,15:59,16:05,,
Breath_Claw,16:05,17:34,,
Breath_Claw,0:00,0:10,GP030206,Control_Side
Pace,0:10,0:19,,
Sit,0:19,1:02,,
Breath,1:02,2:06,,ZM_Side
Pace,2:06,2:25,,
Breath,2:25,2:35,,Control_Side
Claw,2:35,2:55,,
Breath,2:55,3:03,,
Pace,3:03,3:09,,
Claw,3:09,3:37,,
Breath,3:37,4:01,,
Claw,4:01,4:58,,
Breath,4:58,5:07,,
Claw,5:07,5:53,,
Breath,5:53,6:02,,
Sit,6:02,6:07,,
Breath,6:07,6:13,,
Claw,6:13,6:35,,
Breath,6:35,6:43,,
Claw,6:43,7:00,,
Breath,7:00,7:11,,
Breath_Claw,7:11,7:35,,
Breath,7:35,7:41,,
Pace,7:41,7:52,,
Breath,7:52,8:02,,ZM_Side
Pace,8:02,8:10,,Control_Side
Claw,8:10,8:17,,
Breath,8:17,8:25,,
Claw,8:25,8:59,,
Breath,8:59,9:05,,
Claw,9:05,9:24,,
Breath,9:24,9:35,,
Claw,9:35,9:50,,
Breath,9:50,9:57,,
Breath_Claw,9:57,11:41,,
Breath,11:41,11:48,,
Claw,11:48,12:08,,
Breath,12:08,12:25,,
Claw,12:25,13:28,,
Breath,13:28,13:39,,
Claw,13:39,13:56,,
Breath,13:56,14:09,,
Claw,14:09,15:47,,
Breath,15:47,16:03,,
Claw,16:03,16:30,,
Breath_Claw,16:30,17:06,,
Breath,17:06,17:20,,
Claw,17:20,17:31,,
Breath,17:31,17:34,,
Breath,0:00,0:03,GP040206,Control_Side
Claw,0:03,0:06,,
Breath_Claw,0:06,0:12,,
Claw,0:12,0:59,,
Breath_Claw,0:59,1:09,,
Claw,1:09,1:23,,
Breath,1:23,1:29,,
Pace,1:29,1:35,,
Breath,1:35,1:44,,
Claw,1:44,2:22,,
Breath,2:22,2:56,,
Claw,2:56,3:21,,
Breath_Claw,3:21,3:26,,
Claw,3:26,4:15,,
Breath_Claw,4:15,4:21,,
Pace,4:21,4:25,,
Breath,4:25,4:34,,
Claw,4:34,5:16,,
Breath,5:16,5:37,,
Claw,5:37,5:45,,
Breath,5:45,5:58,,
Pace,5:58,6:04,,
Sit,6:04,6:08,,ZM_Side
Breath,6:08,6:21,,
Pace,6:21,6:29,,Control_Side
Claw,6:29,6:36,,
Breath,6:36,6:40,,
Sit,6:40,6:54,,
Claw,6:54,7:54,,
Breath,7:54,8:20,,
Claw,8:20,8:57,,
Breath,8:57,9:01,,
Sit,9:01,9:42,,People_Walked_In
Pace,9:42,10:06,,People_Left_At_9:32
Breath,10:06,11:07,,ZM_Side
Pace,11:07,11:23,,
Breath,11:23,11:40,,Walked_Over_ZM
Pace,11:40,11:52,,Control_Side
Breath,11:52,12:13,,
Pace,12:13,12:20,,
Breath,12:20,12:25,,
Pace,12:25,12:31,,
Claw,12:31,13:38,,
Breath,13:38,13:45,,
Claw,13:45,14:22,,
