Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments,
Pace,0:00,0:06,GO010251,Control_Side,
Breath,0:06,0:24,,,
Claw,0:24,1:38,,,
Breath,1:38,3:24,,,
Claw,3:24,4:03,,,
Breath,4:03,4:21,,,
Claw,4:21,6:39,,,
Breath,6:39,6:55,,,
Sit,6:55,7:06,,,
Breath,7:06,7:50,,,
Claw,7:50,8:56,,,
Breath,8:56,9:18,,,
Claw,9:18,10:43,,,
Breath,10:43,11:22,,,
Claw,11:22,12:42,,,
Breath,12:42,13:04,,,
Claw,13:04,13:52,,,
Breath,13:52,14:07,,,
Claw,14:07,15:08,,,
Breath,15:08,15:28,,,
Claw,15:28,16:28,,,
Breath,16:28,16:47,,,
Claw,16:47,20:59,,,
Breath,20:59,21:50,,,
Claw,21:50,23:09,,,
Breath,23:09,23:51,,,
Pace,23:51,24:11:00,,ZM_Side,
Breath,24:11:00,24:29:00,,,
Pace,24:29:00,24:49:00,,Control_Side,
Breath_Claw,24:49:00,29:55:00,,,
Breath,29:55:00,30:07:00,,,
Breath_Claw,30:07:00,32:16:00,,,
Breath,32:16:00,32:54:00,,,
Claw,32:54:00,33:43:00,,,
Sit,33:43:00,34:33:00,,,
Breath,34:33:00,34:42:00,,,
Breath,0:00,0:45,GO020251,,
Pace,0:45,0:58,,ZM_Side,
Breath,0:58,2:33,,,
Pace,2:33,3:23,,Control_Side,
Breath,3:23,3:37,,,
Breath_Claw,3:37,8:04,,,
Breath,8:04,8:36,,,
Claw,8:36,9:36,,,
Breath,9:36,10:16,,,
Claw,10:16,10:58,,,
Breath,10:58,11:17,,,
Claw,11:17,16:21,,,
Breath,16:21,17:22,,,
Pace,17:22,18:15,,,
Breath,18:15,18:29,,,
Breath_Claw,18:29,21:27,,,
Breath,21:27,22:22,,,
Claw,22:22,23:30,,,
Breath,23:30,24:53:00,,,
Pace,24:53:00,25:12:00,,ZM_Side,
Breath,25:12:00,25:39:00,,,
Pace,25:39:00,26:17:00,,Control_Side,
Claw,26:17:00,28:03:00,,,
Breath,28:03:00,28:51:00,,,
Claw,28:51:00,30:22:00,,,
Breath,30:22:00,30:58:00,,,
Breath_Claw,30:58:00,34:02:00,,,
Breath,34:02:00,34:28:00,,,
Claw,34:28:00,34:42:00,,,
Claw,0:00,0:44,GO030251,,
Breath,0:44,1:17,,,
Claw,1:17,2:05,,,
Breath,2:05,2:45,,,
Claw,2:45,6:51,,,
Breath,6:51,7:31,,,
Claw,7:31,8:11,,,
Breath,8:11,8:36,,,
Claw,8:36,9:21,,,
Breath,9:21,9:55,,,
Claw,9:55,10:57,,,
Breath,10:57,12:40,,,
Claw,12:40,14:27,,,
Breath,14:27,16:05,,,
Claw,16:05,16:57,,,
Breath,16:57,17:24,,,
Breath_Claw,17:24,20:04,,,
Breath,20:04,20:30,,,
Claw,20:30,21:35,,Person walked in at 21:35,
Sit,21:35,25:07:00,,END,
Sit,8:02,8:17,GOPR0251,ZM_Side,IS this the first video?
Breath,8:17,8:51,,,
Pace,8:51,10:07,,Control_Side,
Breath,10:07,10:45,,,
Pace,10:45,11:12,,,
Breath,11:12,11:32,,,
Pace,11:32,11:49,,,Person walked in at 11:49
Sit,11:49,12:15,,,Person left at 12:05
Pace,12:15,12:40,,ZM_Side,
Breath,12:40,13:03,,,
Pace,13:03,13:18,,,
Breath,13:18,13:41,,,
Pace,13:41,14:33,,,
Breath,14:33,14:57,,,
Pace,14:57,15:18,,,
Breath,15:18,15:35,,Control_Side,
Claw,15:35,16:25,,,
Breath,16:25,17:02,,,
Pace,17:02,17:21,,,
Breath,17:21,17:40,,,
Pace,17:40,18:34,,,
Breath,18:34,18:51,,,
Breath_Claw,18:51,20:24,,,
Breath,20:24,20:43,,,
Pace,20:43,21:25,,,
Breath_Claw,21:25,26:38:00,,,
Breath,26:38:00,26:55:00,,,
Breath_Claw,26:55:00,34:42:00,,,
