Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Sit,3:19,6:29,GOPR0212,Control_Side
Pace,6:29,8:30,,
Claw,8:30,10:57,,
Breath,10:57,12:19,,
Claw,12:19,15:16,,
Breath,15:16,16:00,,
Claw,16:00,17:18,,
Breath,17:18,17:34,,
Breath,0:00,1:57,GP010212,
Claw,1:57,5:00,,
Breath,5:00,5:24,,
Claw,5:24,6:11,,
Breath,6:11,6:23,,
Pace,6:23,7:04,,
Sit,7:04,7:21,,
Breath,7:21,7:37,,
Claw,7:37,12:17,,
Breath,12:17,12:33,,
Claw,12:33,13:35,,
Pace,13:35,13:49,,
Breath,13:49,14:11,,
Claw,14:11,15:33,,
Breath,15:33,15:41,,
Claw,15:41,17:34,,
Claw,0:00,0:12,GP020212,
Breath,0:12,0:31,,
Pace,0:31,0:53,,
Smelled_ZM,0:53,1:14,,
Breath,1:14,1:33,,
Claw,1:33,3:18,,
Breath,3:18,3:48,,
Claw,3:48,7:35,,
Breath,7:35,7:45,,
Claw,7:45,10:13,,
Breath,10:13,10:20,,
Claw,10:20,12:42,,
Breath,12:42,13:22,,
Pace,13:22,14:04,,ZM_Side
Breath,14:04,14:17,,
Claw,14:17,16:35,,Control_Side
Breath,16:35,17:19,,
Sit,17:19,17:34,,
Sit,0:00,3:44,GP030212,
Breath,3:44,5:18,,
Pace,5:18,6:05,,
Breath,6:05,6:21,,
Claw,6:21,11:22,,
Breath,11:22,12:06,,
Claw,12:06,17:28,,
Breath,17:28,17:34,,
Breath,0:00,2:19,GP040212,
Pace,2:19,2:42,,
Breath,2:42,3:03,,
Claw,3:03,10:21,,
Breath,10:21,10:32,,
Sit,10:32,15:05,,
Breath,15:05,17:34,,
Breath,0:00,4:43,GP050212,
Claw,4:43,7:10,,
Breath,7:10,8:03,,
Claw,8:03,13:07,,
Breath,13:07,14:24,,
Claw,14:24,17:34,,
Claw,0:00,1:42,GP060212,
Breath,1:42,3:10,,
Pace,3:10,3:20,,
Breath,3:20,4:02,,
Pace,4:02,4:34,,ZM_Side
Smelled_ZM,4:34,4:49,,
Breath,4:49,5:00,,
Pace,5:00,5:19,,
Claw,5:19,12:58,,
Breath,12:58,13:34,,
Claw,13:34,17:06,,
Breath,17:06,17:34,,
Breath,0:00,1:50,GP070212,
Claw,1:50,4:02,,END
