Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Sit,0:11,0:32,MOV00002,Control_Side
Breath,0:32,0:50,,
Claw,0:50,1:23,,
Breath,1:23,1:46,,
Pace,1:46,2:10,,
Breath,2:10,2:17,,
Pace,2:17,2:39,,
Breath,2:39,2:47,,
Pace,2:47,3:00,,ZM_Side
Pace,0:00,0:03,MOV00003,
Breath,0:03,0:20,,
Claw,0:20,1:08,,
Breath,1:08,1:16,,
Breath_Claw,1:16,3:00,,
Breath_Claw,0:00,1:28,MOV00004,
Claw,1:28,3:00,,Control_Side
Claw,0:00,0:21,MOV00005,
Breath,0:21,0:34,,
Claw,0:34,1:28,,
Breath,1:28,1:47,,
Breath_Claw,1:47,3:00,,
Claw,0:00,0:18,MOV00006,
Breath,0:18,0:31,,
Claw,0:31,1:12,,
Breath,1:12,1:22,,
Claw,1:22,1:59,,
Breath,1:59,2:13,,
Pace,2:13,2:35,,ZM_Side
Claw,2:35,3:00,,
Claw,0:00,0:36,MOV00007,
Breath,0:36,0:46,,
Breath_Claw,0:46,3:00,,
Breath_Claw,0:00,1:16,MOV00008,
Claw,1:16,3:00,,
Claw,0:00,0:30,MOV00009,Control_Side
Breath,0:30,0:46,,
Breath_Claw,0:46,3:00,,
Breath_Claw,0:00,0:57,MOV00010,
Breath,0:57,1:10,,
Pace,1:10,1:16,,
Ate_Snail,1:16,1:39,,
Breath,1:39,1:44,,
Pace,1:44,2:16,,
Breath,2:16,2:23,,
Breath_Claw,2:23,3:00,,
Breath,0:00,0:06,MOV00011,
Pace,0:06,0:16,,ZM_Side
Breath,0:16,0:45,,
Claw,0:45,2:28,,
Breath_Claw,2:28,3:00,,Control_Side
Breath_Claw,0:00,3:00,MOV00012,
Breath_Claw,0:00,3:00,MOV00013,
Breath_Claw,0:00,0:41,MOV00014,
Breath,0:41,1:05,,
Pace,1:05,2:11,,
Breath_Claw,2:11,3:00,,
Claw,0:00,0:37,MOV00015,
Breath,0:37,0:49,,
Breath_Claw,0:49,1:13,,
Pace,1:13,1:31,,
Sit,1:31,1:46,,
Breath,1:46,1:55,,
Pace,1:55,2:12,,
Breath,2:12,2:16,,
Breath_Claw,2:16,3:00,,
Claw,0:00,2:54,MOV00016,
Breath,2:54,3:00,,
Breath,0:00,0:07,MOV00017,
Pace,0:07,0:41,,
Claw,0:41,1:51,,
Breath,1:51,1:59,,
Claw,1:59,3:00,,
Breath_Claw,0:00,1:52,MOV00018,
Claw,1:52,3:00,,
Claw,0:00,1:06,MOV00019,
Breath,1:06,2:22,,
Pace,2:22,3:00,,
Pace,0:00,0:39,MOV00020,
Claw,0:39,1:33,,
Breath,1:33,1:48,,
Claw,1:48,2:51,,
Breath,2:51,3:00,,
Breath,0:00,0:23,MOV00021,
Breath_Claw,0:23,2:07,,
Claw,2:07,3:00,,
Claw,0:00,0:10,MOV00022,
Breath,0:10,1:11,,
Claw,1:11,2:25,,
Breath,2:25,3:00,,
Breath,0:00,0:19,MOV00023,
Claw,0:19,1:44,,
Breath,1:44,1:57,,
Pace,1:57,2:24,,
Breath,2:24,3:00,,
Breath,0:00,0:44,MOV00024,
Sit,0:44,3:00,,
Sit,0:00,3:00,MOV00025,
Sit,0:00,3:00,MOV00026,
Sit,0:00,3:00,MOV00027,
Sit,0:00,2:07,MOV00028,
Breath,2:07,3:00,,
Breath,0:00,2:56,MOV00029,
Pace,2:56,3:00,,
Pace,0:00,1:08,MOV00030,
Breath,1:08,1:17,,
Claw,1:17,2:08,,
Breath,2:08,3:00,,
Breath,0:00,1:27,MOV00031,
Sit,1:27,3:00,,
Sit,0:00,1:20,MOV00032,
Breath,1:20,1:34,,
Claw,1:34,2:30,,
Breath,2:30,3:00,,
Breath,0:00,3:00,MOV00033,
Breath,0:00,2:41,MOV00034,
Sit,2:41,3:00,,People_Walked_In
Sit,0:00,0:39,MOV00035,
Pace,0:39,2:05,,
Sit,2:05,3:00,,
Sit,0:00,1:27,MOV00036,
Pace,1:27,2:00,,
Breath,2:00,2:14,,
Pace,2:14,3:00,,
Pace,0:00,1:39,MOV00037,ZM_Side
Breath,1:39,1:52,,
Pace,1:52,3:00,,
Sit,0:00,2:15,MOV00038,
Pace,2:15,3:00,,
Claw,0:00,1:16,MOV00039,
Breath,1:16,1:43,,
Sit,1:43,2:22,,END
