Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Breath,4:21,4:40,GOPR0214,
Claw,4:40,5:05,,
Breath,5:05,5:50,,
Pace,5:50,6:07,,
Breath,6:07,6:34,,
Claw,6:34,6:57,,
Breath_Claw,6:57,12:10,,
Claw,12:10,14:10,,
Breath,14:10,14:31,,
Claw,14:31,16:27,,
Breath,16:27,16:44,,
Breath_Claw,16:44,17:34,,
Breath_Claw,0:00,5:52,GP010214,
Claw,5:52,6:39,,
Breath,6:39,6:56,,
Breath_Claw,6:56,7:26,,
Breath,7:26,7:42,,
Breath_Claw,7:42,11:10,,
Breath,11:10,11:38,,
Breath_Claw,11:38,13:34,,
Breath,13:34,13:57,,
Claw,13:57,14:52,,
Breath,14:52,15:18,,
Claw,15:18,17:34,,
Claw,0:00,0:16,GP020214,
Breath,0:16,0:32,,
Breath_Claw,0:32,1:19,,
Claw,1:19,3:38,,
Breath,3:38,4:39,,
Pace,4:39,4:48,,
Breath,4:48,4:57,,
Claw,4:57,6:33,,
Breath,6:33,7:03,,
Claw,7:03,7:33,,
Smelled_Snail,7:33,8:01,,
Pace,8:01,8:48,,
Ate_ZM,8:48,9:30,,
Breath,9:30,9:38,,
Breath_Claw,9:38,13:25,,
Breath,13:25,13:50,,
Breath_Claw,13:50,15:40,,
Breath,15:40,15:54,,
Claw,15:54,16:44,,
Breath,16:44,16:57,,
Claw,16:57,17:34,,
Breath,0:00,1:09,GP030214,
Claw,1:09,1:49,,
Breath,1:49,2:38,,
Claw,2:38,3:17,,
Breath,3:17,4:11,,
Claw,4:11,5:49,,
Breath,5:49,6:29,,
Claw,6:29,6:59,,
Breath,6:59,8:45,,
Claw,8:45,9:14,,
Breath,9:14,9:59,,
Pace,9:59,10:10,,
Breath,10:10,11:39,,
Claw,11:39,13:10,,
Breath,13:10,14:01,,
Claw,14:01,14:54,,
Breath,14:54,17:11,,
Pace,17:11,17:25,,
Smelled_ZM,17:25,17:29,,
Ate_ZM,17:29,17:34,,
Ate_ZM,0:00,1:05,GP040214,
Breath,1:05,1:12,,
Ate_ZM,1:12,2:00,,
Breath,2:00,2:06,,
Ate_ZM,2:06,2:38,,
Breath,2:38,2:48,,
Pace,2:48,3:01,,
Breath,3:01,3:34,,
Pace,3:34,4:09,,
Breath,4:09,4:52,,
Pace,4:52,5:24,,
Breath,5:24,5:42,,
Bit_At_ZM,5:42,6:03,,
Breath,6:03,6:33,,
Pace,6:33,7:47,,
Bit_At_ZM,7:47,8:12,,
Pace,8:12,8:18,,
Breath,8:18,9:49,,
Pace,9:49,9:58,,
Breath,9:58,11:44,,
Breath_Claw,11:44,12:46,,
Breath,12:46,13:19,,
Breath_Claw,13:19,17:34,,
Breath_Claw,0:00,2:15,GP050214,
Breath,2:15,2:26,,
Breath_Claw,2:26,4:34,,
Breath,4:34,4:46,,
Breath_Claw,4:46,6:19,,
Breath,6:19,6:38,,
Breath_Claw,6:38,7:57,,
Breath,7:57,8:35,,
Breath_Claw,8:35,17:34,,
Breath_Claw,0:00,17:34,GP060214,DID_THE_SAME_THING!!!
Breath_Claw,0:00,0:17,GP070214,
Breath,0:17,0:21,,
Breath_Claw,0:21,3:17,,
Breath,3:17,3:32,,
Breath_Claw,3:32,6:23,,END
