Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Sit,1:58,2:42,MOV00001,Control_Side
Breath,2:42,3:00,,
Breath,0:00,0:49,MOV00002,
Pace,0:49,1:17,,
Breath,1:17,1:31,,
Pace,1:31,2:05,,
Breath,2:05,3:00,,
Breath,0:00,0:02,MOV00003,
Claw,0:02,1:18,,
Breath,1:18,2:04,,
Pace,2:04,2:29,,
Breath,2:29,2:55,,
Pace,2:55,3:00,,
Pace,0:00,0:10,MOV00004,
Breath,0:10,0:41,,
Claw,0:41,2:18,,
Breath,2:18,3:00,,
Breath,0:00,0:56,MOV00005,
Pace,0:56,1:15,,
Breath,1:15,1:40,,
Pace,1:40,1:48,,
Breath,1:48,2:15,,
Pace,2:15,2:22,,
Breath,2:22,3:00,,
Pace,0:00,0:17,MOV00006,
Breath,0:17,0:30,,
Claw,0:30,1:02,,
Breath,1:02,1:26,,
Claw,1:26,2:41,,
Breath,2:41,3:00,,
Breath,0:00,0:53,MOV00007,
Claw,0:53,1:08,,
Breath,1:08,2:02,,
Pace,2:02,2:12,,
Breath,2:12,2:21,,
Breath_Claw,2:21,3:00,,
Breath_Claw,0:00,0:22,MOV00008,
Breath,0:22,0:47,,
Claw,0:47,1:14,,
Breath,1:14,3:00,,
Breath,0:00,0:13,MOV00009,
Claw,0:13,0:54,,
Breath,0:54,1:20,,
Claw,1:20,1:44,,
Breath,1:44,2:18,,
Pace,2:18,2:33,,
Breath,2:33,3:00,,
Breath,0:00,0:30,MOV00010,
Claw,0:30,0:37,,
Breath,0:37,1:29,,
Claw,1:29,1:36,,
Breath,1:36,2:18,,
Breath_Claw,2:18,3:00,,
Breath_Claw,0:00,2:34,MOV00011,
Breath,2:34,2:45,,
Breath_Claw,2:45,3:00,,
Breath_Claw,0:00,1:48,MOV00012,
Breath,1:48,2:21,,
Breath_Claw,2:21,3:00,,
Breath_Claw,0:00,0:03,MOV00013,
Breath,0:03,0:23,,
Breath_Claw,0:23,1:19,,
Breath,1:19,1:41,,
Breath_Claw,1:41,3:00,,
Breath_Claw,0:00,0:15,MOV00014,
Breath,0:15,0:24,,
Breath_Claw,0:24,2:12,,
Breath,2:12,2:50,,
Breath_Claw,2:50,3:00,,
Breath_Claw,0:00,0:06,MOV00015,
Breath,0:06,0:14,,
Breath_Claw,0:14,1:35,,
Breath,1:35,2:19,,
Breath_Claw,2:19,3:00,,
Breath_Claw,0:00,1:23,MOV00016,
Breath,1:23,1:44,,
Breath_Claw,1:44,2:01,,
Breath,2:01,2:35,,
Breath_Claw,2:35,3:00,,
Breath_Claw,0:00,3:00,MOV00017,
Breath_Claw,0:00,3:00,MOV00018,
Breath_Claw,0:00,1:14,MOV00019,
Breath,1:14,3:00,,
Breath,0:00,0:50,MOV00020,
Claw,0:50,1:15,,
Breath,1:15,3:00,,
Breath,0:00,2:30,MOV00021,
Claw,2:30,2:50,,
Breath,2:50,3:00,,
Breath,0:00,0:09,MOV00022,
Pace,0:09,0:15,,
Breath,0:15,0:25,,
Breath_Claw,0:25,3:00,,
Breath_Claw,0:00,2:06,MOV00023,
Breath,2:06,2:23,,
Breath_Claw,2:23,3:00,,
Breath_Claw,0:00,2:04,MOV00024,
Sit,2:04,2:13,,
Breath,2:13,2:45,,
Claw,2:45,3:00,,
Breath_Claw,0:00,3:00,MOV00025,
Breath,0:00,3:00,MOV00026,
Breath_Claw,0:00,2:01,MOV00027,
Breath,2:01,3:00,,
Breath,0:00,1:02,MOV00028,
Pace,1:02,1:16,,
Breath,1:16,1:54,,
Breath_Claw,1:54,3:00,,
Breath_Claw,0:00,2:39,MOV00029,
Breath,2:39,2:57,,
Breath_Claw,2:57,3:00,,
Breath_Claw,0:00,1:02,MOV00030,
Breath,1:02,1:19,,
Breath_Claw,1:19,2:43,,
Breath,2:43,3:00,,
Breath_Claw,0:00,0:19,MOV00031,
Sit,0:19,0:27,,
Breath,0:27,0:52,,
Breath_Claw,0:52,3:00,,
Breath_Claw,0:00,0:10,MOV00032,
Breath,0:10,2:26,,
Breath_Claw,2:26,3:00,,
Breath_Claw,0:00,1:38,MOV00033,
Breath,1:38,1:58,,
Breath_Claw,1:58,3:00,,
Breath_Claw,0:00,1:32,MOV00034,
Breath,1:32,2:02,,
Breath_Claw,2:02,3:00,,
Breath_Claw,0:00,1:17,MOV00035,
Breath,1:17,1:36,,
Breath_Claw,1:36,3:00,,
Breath_Claw,0:00,0:05,MOV00036,
Breath,0:05,0:34,,
Breath_Claw,0:34,1:12,,
Breath,1:12,1:24,,
Breath_Claw,1:24,3:00,,
Breath_Claw,0:00,1:39,MOV00037,
Breath,1:39,1:57,,
Breath_Claw,1:57,3:00,,
Breath_Claw,0:00,2:38,MOV00038,
Breath,2:38,3:00,,
Breath,0:00,0:06,MOV00039,
Breath_Claw,0:06,2:10,,
Breath,2:10,2:26,,
Breath_Claw,2:26,3:00,,
Breath_Claw,0:00,0:21,MOV00040,
Breath,0:21,0:49,,
Breath_Claw,0:49,1:25,,
Breath,1:25,2:10,,
Breath_Claw,2:10,3:00,,
Breath_Claw,0:00,0:42,MOV00041,
Breath,0:42,1:04,,END
