Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Sit,6:42,6:45,GOPR0250,ZM_Side
Breath,6:45,7:14,,
Pace,7:14,7:45,,
Breath,7:45,8:04,,
Sit,8:04,9:01,,
Breath,9:01,9:32,,
Sit,9:32,10:20,,
Breath,10:20,11:19,,
Pace,11:19,11:29,,Control_Side
Breath,11:29,12:04,,
Breath_Claw,12:04,14:59,,
Breath,14:59,15:07,,
Breath_Claw,15:07,16:26,,
Breath,16:26,16:35,,
Breath_Claw,16:35,17:59,,
Breath,17:59,18:13,,
Breath_Claw,18:13,19:12,,
Sit,19:12,19:20,,
Breath,19:20,19:34,,
Breath_Claw,19:34,20:36,,
Breath,20:36,21:00,,
Breath_Claw,21:00,21:16,,
Ate_Snail,21:16,21:32,,
Breath_Claw,21:32,23:15,,
Bit_At_Snail,23:15,23:25,,
Breath,23:25,23:33,,
Pace,23:33,23:45,,
Breath,23:45,24:08:00,,
Pace,24:08:00,26:29:00,,
Breath,26:29:00,26:34:00,,
Pace,26:34:00,26:54:00,,
Bit_At_Snail,26:54:00,27:09:00,,
Breath,27:09:00,27:23:00,,
Pace,27:23:00,27:34:00,,
Bit_At_ZM,27:34:00,27:52:00,,
Breath,27:52:00,28:13:00,,
Smelled_ZM,28:13:00,28:23:00,,
Breath,28:23:00,28:39:00,,
Ate_ZM,28:39:00,29:24:00,,
Breath,29:24:00,29:30:00,,
Bit_At_ZM,29:30:00,29:45:00,,
Breath,29:45:00,30:01:00,,
Bit_At_ZM,30:01:00,30:16:00,,
Breath,30:16:00,30:22:00,,
Breath_Claw,30:22:00,32:46:00,,
Breath,32:46:00,33:03:00,,
Breath_Claw,33:03:00,33:50:00,,
Breath,33:50:00,34:16:00,,
Breath_Claw,34:16:00,34:42:00,,
Breath_Claw,0:00,3:14,GO010250,
Breath,3:14,4:58,,
Pace,4:58,5:23,,
Breath,5:23,6:16,,
Pace,6:16,6:35,,
Breath,6:35,7:41,,
Pace,7:41,7:49,,
Bit_At_ZM,7:49,8:12,,
Breath,8:12,8:30,,
Pace,8:30,8:37,,
Breath,8:37,9:22,,
Breath_Claw,9:22,9:45,,
Pace,9:45,11:20,,
Breath,11:20,11:55,,
Pace,11:55,12:46,,
Bit_At_ZM,12:46,13:01,,
Breath,13:01,13:28,,
Pace,13:28,13:32,,
Breath,13:32,13:42,,
Breath_Claw,13:42,14:01,,
Breath,14:01,15:54,,
Pace,15:54,15:58,,
Breath,15:58,17:30,,
Pace,17:30,17:52,,
Breath,17:52,17:58,,
Breath_Claw,17:58,25:26:00,,
Breath,25:26:00,27:29:00,,
Pace,27:29:00,27:53:00,,
Breath,27:53:00,28:52:00,,
Bit_At_ZM,28:52:00,29:04:00,,
Breath,29:04:00,29:40:00,,
Breath_Claw,29:40:00,33:41:00,,
Breath,33:41:00,34:08:00,,
Breath_Claw,34:08:00,34:42:00,,
Breath,0:00,3:42,GO020250,
Pace,3:42,3:55,,
Breath,3:55,4:28,,
Pace,4:28,4:35,,
Breath,4:35,6:05,,
Breath_Claw,6:05,8:01,,
Breath,8:01,8:15,,
Pace,8:15,8:22,,
Breath,8:22,9:02,,
Pace,9:02,9:05,,
Breath,9:05,15:57,,
Pace,15:57,16:02,,
Breath,16:02,16:08,,
Breath_Claw,16:08,18:25,,
Breath,18:25,19:28,,
Breath_Claw,19:28,23:54,,
Breath,23:54,24:04:00,,
Pace,24:04:00,24:14:00,,
Breath,24:14:00,24:42:00,,
Breath_Claw,24:42:00,27:36:00,,
Breath,27:36:00,28:05:00,,
Breath_Claw,28:05:00,30:17:00,,
Breath,30:17:00,30:29:00,,
Breath_Claw,30:29:00,34:13:00,,
Breath,34:13:00,34:25:00,,
Breath_Claw,34:25:00,34:42:00,,
Breath_Claw,0:00,,GO030250,
Breath,3:20,,,
Breath_Claw,3:41,,,
Breath,6:33,,,
Breath_Claw,7:27,,,
Breath,9:29,,,
Breath_Claw,9:46,,,
Breath,10:21,,,
Ate_ZM,12:24,,,
Breath,13:23,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,19:39,
