Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Sit,4:32,6:14,SUNP0016,Control_Side
Breath,6:14,8:12,,
Claw,8:12,10:03,,
Breath,10:03,11:28,,
Claw,11:28,12:35,,
Breath,12:35,12:51,,
Claw,12:51,13:41,,
Breath,13:41,14:01,,
Claw,14:01,14:25,,
Breath,14:25,14:53,,
Claw,14:53,17:09,,
Breath,17:09,18:46,,
Claw,18:46,20:07,,
Breath,20:07,20:26,,
Claw,20:26,21:04,,
Breath,21:04,21:46,,
Breath_Claw,21:46,22:33,,
Breath_Claw,0:00,0:54,SUNP0017,
Claw,0:54,3:59,,
Breath,3:59,6:07,,
Claw,6:07,10:28,,
Breath,10:28,12:43,,
Claw,12:43,14:37,,
Breath,14:37,17:10,,
Claw,17:10,17:57,,
Breath,17:57,18:32,,
Pace,18:32,18:51,,
Breath,18:51,19:55,,
Claw,19:55,21:50,,
Claw,0:00,0:06,SUNP0018,
Breath,0:06,1:10,,
Breath_Claw,1:10,6:18,,
Breath,6:18,12:58,,
Claw,12:58,15:27,,
Breath,15:27,18:44,,
Claw,18:44,21:03,,
Breath,21:03,21:50,,
Breath,0:00,4:43,SUNP0019,
Claw,4:43,8:27,,
Breath,8:27,11:33,,
Claw,11:33,13:34,,
Breath,13:34,15:07,,
Claw,15:07,17:02,,
Breath,17:02,19:29,,
Claw,19:29,21:41,,
Breath,21:41,21:48,,
Breath,0:00,5:40,SUNP0020,
Breath_Claw,5:40,6:29,,
Breath,6:29,10:35,,
Breath_Claw,10:35,11:13,,
Breath,11:13,14:13,,
Breath_Claw,14:13,18:13,,
Breath,18:13,19:17,,
Breath_Claw,19:17,20:29,,
Breath,20:29,21:41,,
Breath_Claw,0:00,0:50,SUNP0021,
Breath,0:50,1:23,,
Breath_Claw,1:23,2:38,,
Breath,2:38,3:24,,
Breath_Claw,3:24,5:32,,
Claw,5:32,6:13,,
Breath_Claw,6:13,10:10,,
Breath,10:10,10:56,,
Claw,10:56,11:12,,
Breath,11:12,12:36,,END
