Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Sit,1:21,3:00,MOV00000,Control_Side
Sit,0:00,0:27,MOV00001,
Breath,0:27,2:40,,
Pace,2:40,2:50,,
Breath,2:50,3:00,,
Breath,0:00,0:50,MOV00002,
Pace,0:50,1:16,,
Breath,1:16,2:17,,Snail stuck to face. Turtle got angry.
Sit,2:17,2:35,,
Breath,2:35,3:00,,
Breath,0:00,1:48,MOV00003,
Pace,1:48,1:56,,
Breath,1:56,3:00,,
Breath,0:00,2:09,MOV00004,
Pace,2:09,2:25,,
Breath,2:25,2:30,,
Pace,2:30,2:39,,ZM_Side
Ate_ZM,2:39,3:00,,
Ate_ZM,0:00,3:00,MOV00005,
Ate_ZM,0:00,1:22,MOV00006,
Breath,1:22,1:30,,
Ate_ZM,1:30,3:00,,
Ate_ZM,0:00,0:03,MOV00007,
Breath,0:03,0:33,,
Ate_ZM,0:33,0:45,,
Breath,0:45,1:17,,
Pace,1:17,1:27,,
Ate_ZM,1:27,2:00,,
Breath,2:00,2:42,,
Breath_Claw,2:42,3:00,,
Breath_Claw,0:00,3:00,MOV00008,
Breath_Claw,0:00,3:00,MOV00009,
Breath_Claw,0:00,2:07,MOV00010,
Breath,2:07,2:22,,
Breath_Claw,2:22,3:00,,
Breath_Claw,0:00,3:00,MOV00011,
Breath_Claw,0:00,3:00,MOV00012,
Breath_Claw,0:00,3:00,MOV00013,
Breath_Claw,0:00,1:19,MOV00014,
Breath,1:19,1:29,,
Breath_Claw,1:29,3:00,,
Breath_Claw,0:00,1:10,MOV00015,
Breath,1:10,1:55,,
Breath_Claw,1:55,3:00,,
Breath_Claw,0:00,3:00,MOV00016,
Breath_Claw,0:00,3:00,MOV00017,
Breath_Claw,0:00,0:36,MOV00018,
Breath,0:36,0:51,,
Breath_Claw,0:51,3:00,,
Breath_Claw,0:00,1:27,MOV00019,
Breath,1:27,1:52,,
Breath_Claw,1:52,3:00,,
Breath_Claw,0:00,3:00,MOV00020,
Breath_Claw,0:00,3:00,MOV00021,
Breath_Claw,0:00,3:00,MOV00022,
Breath_Claw,0:00,1:40,MOV00023,
Breath,1:40,2:02,,
Breath_Claw,2:02,3:00,,
Breath_Claw,0:00,3:00,MOV00024,
Breath_Claw,0:00,3:00,MOV00025,
Breath_Claw,0:00,2:21,MOV00026,
Breath,2:21,2:39,,
Breath_Claw,2:39,3:00,,
Breath_Claw,0:00,3:00,MOV00027,
Breath_Claw,0:00,3:00,MOV00028,
Breath_Claw,0:00,1:31,MOV00029,
Breath,1:31,1:43,,
Breath_Claw,1:43,2:50,,
Bit_At_ZM,2:50,3:00,,
Bit_At_ZM,0:00,0:18,MOV00030,
Breath,0:18,0:22,,
Breath_Claw,0:22,1:21,,
Breath,1:21,1:31,,
Breath_Claw,1:31,3:00,,
Breath_Claw,0:00,0:58,MOV00031,
Breath,0:58,1:03,,
Breath_Claw,1:03,3:00,,
Breath_Claw,0:00,1:08,MOV00032,
Breath,1:08,1:22,,
Pace,1:22,1:26,,
Breath,1:26,1:40,,
Breath_Claw,1:40,3:00,,
Breath_Claw,0:00,3:00,MOV00033,
Breath_Claw,0:00,1:48,MOV00034,
Breath,1:48,2:04,,
Breath_Claw,2:04,2:38,,
Breath,2:38,2:48,,
Breath_Claw,2:48,3:00,,
Breath_Claw,0:00,0:59,MOV00035,
Breath,0:59,1:18,,
Breath_Claw,1:18,3:00,,
Breath,0:00,0:22,MOV00036,
Breath_Claw,0:22,3:00,,
Breath_Claw,0:00,3:00,MOV00037,
Breath_Claw,0:00,3:00,MOV00038,
Breath_Claw,0:00,3:00,MOV00039,
Breath_Claw,0:00,0:12,MOV00040,END
