Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Claw,0:00,0:19,MOV00001,Control_Side
Sit,0:19,2:27,,People_Leave_At_0:48
Claw,2:27,3:00,,
Claw,0:00,0:36,MOV00002,
Sit,0:36,0:50,,
Claw,0:50,0:55,,
Sit,0:55,1:12,,
Pace,1:12,3:00,,
Pace,0:00,0:29,MOV00003,
Breath,0:29,0:40,,
Pace,0:40,1:56,,
Claw,1:56,3:00,,
Claw,0:00,0:03,MOV00004,
Sit,0:03,0:21,,
Claw,0:21,2:03,,
Breath,2:03,2:55,,
Pace,2:55,3:00,,
Claw,0:00,1:26,MOV00005,
Breath,1:26,1:54,,
Pace,1:54,2:40,,
Claw,2:40,3:00,,
Pace,0:00,0:46,MOV00006,
Sit,0:46,0:52,,ZM_Side
Breath,0:52,1:15,,
Claw,1:15,2:01,,
Breath,2:01,2:22,,
Claw,2:22,3:00,,
Claw,0:00,1:12,MOV00007,
Breath,1:12,1:43,,
Claw,1:43,2:15,,
Breath,2:15,2:27,,
Claw,2:27,3:00,,
Claw,0:00,0:36,MOV00008,
Breath,0:36,0:59,,
Claw,0:59,3:00,,
Claw,0:00,1:19,MOV00009,
Breath,1:19,1:38,,
Claw,1:38,3:00,,
Claw,0:00,0:14,MOV00010,
Breath,0:14,0:26,,
Claw,0:26,0:51,,
Breath,0:51,0:59,,
Claw,0:59,3:00,,
Claw,0:00,1:01,MOV00011,
Breath,1:01,1:23,,
Claw,1:23,2:11,,
Breath,2:11,2:28,,
Claw,2:28,3:00,,
Claw,0:00,0:20,MOV00012,
Sit,0:20,0:23,,
Claw,0:23,1:39,,
Breath,1:39,1:59,,
Claw,1:59,3:00,,
Claw,0:00,0:23,MOV00013,
Breath,0:23,0:59,,
Claw,0:59,3:00,,
Claw,0:00,0:32,MOV00014,
Sit,0:32,2:43,,
Claw,2:43,3:00,,
Claw,0:00,1:10,MOV00015,
Breath,1:10,2:18,,
Claw,2:18,3:00,,
Claw,0:00,0:01,MOV00016,
Breath,0:01,0:15,,
Claw,0:15,1:11,,
Breath,1:11,1:34,,
Claw,1:34,3:00,,
Claw,0:00,1:20,MOV00017,
Breath,1:20,3:00,,
Breath,0:00,0:02,MOV00018,
Claw,0:02,0:46,,
Breath,0:46,1:40,,
Claw,1:40,1:53,,
Breath,1:53,1:58,,
Pace,1:58,2:01,,
Smelled_ZM,2:01,2:19,,
Kicked_ZM,2:19,2:34,,
Bit_At_ZM,2:34,3:00,,
Pace,0:00,0:10,MOV00019,
Breath,0:10,0:17,,
Claw,0:17,1:10,,
Breath,1:10,1:16,,
