Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Breath,0:00,0:05,M0V00000,Control_Side
Claw_Head_Down,0:05,0:13,,
Claw_Head_Up,0:13,0:55,,
Breath,0:55,1:48,,
Swim,1:48,2:16,,ZM_Side
Smelled_ZM,2:16,2:33,,Large_ZM
Breath,2:33,2:40,,
Claw,2:40,3:00,,
Breath,0:00,0:06,M0V00001,
Claw,0:06,0:14,,
Breath,0:14,0:30,,
Claw,0:30,0:39,,
Breath,0:39,0:45,,
Breath_Claw,0:45,3:00,,
Claw,0:00,0:08,M0V00002,
Breath,0:08,0:30,,
Claw,0:30,0:43,,
Breath,0:43,1:06,,
Pace,1:06,1:48,,
Claw,1:48,3:00,,
Claw,0:00,0:19,M0V00003,
Breath,0:19,0:35,,
Claw,0:35,0:46,,
Breath,0:46,1:03,,
Claw,1:03,1:15,,
Breath,1:15,1:21,,
Claw,1:21,3:00,,Control_Side
Claw,0:00,0:09,M0V00004,
Breath,0:09,0:29,,
Claw,0:29,1:43,,
Pace,1:43,1:50,,
Breath,1:50,2:12,,
Claw,2:12,2:44,,
Pace,2:44,3:00,,Floating_Snail
Pace,0:00,0:15,M0V00005,
Breath,0:15,0:49,,
Pace,0:49,0:56,,
Breath,0:56,1:07,,
Pace,1:07,1:12,,
Breath,1:12,1:23,,
Pace,1:23,1:29,,ZM_Side
Breath,1:29,1:42,,
Pace,1:42,2:03,,Control_Side
Breath,2:03,2:24,,
Claw,2:24,2:33,,
Breath,2:33,2:56,,
Pace,2:56,3:00,,
Pace,0:00,0:05,M0V00006,ZM_Side
Breath,0:05,0:18,,
Claw,0:18,0:28,,
Breath,0:28,1:19,,
Sit,1:19,1:21,,
Breath,1:21,1:33,,
Claw,1:33,1:52,,
Breath,1:52,3:00,,
Breath,0:00,1:03,M0V00007,
Claw,1:03,1:14,,
Breath,1:14,1:29,,
Pace,1:29,1:35,,
Breath,1:35,1:55,,
Pace,1:55,2:01,,Control_Side
Breath,2:01,2:21,,
Pace,2:21,2:25,,ZM_Side
Smelled_ZM,2:25,2:31,,
Ate_ZM,2:31,2:41,,Medium_ZM
Spit_Out_ZM,2:41,2:42,,
Ate_ZM,2:42,3:00,,Medium_ZM
Swallowing_ZM,0:00,0:04,M0V00008,
Ate_ZM,0:04,0:20,,Medium_ZM
Breath,0:20,0:36,,
Pace,0:36,0:42,,
Breath,0:42,0:57,,
Pace,0:57,1:01,,
Ate_ZM,1:01,1:29,,Large_ZM
Breath,1:29,1:45,,
Bit_At_ZM,1:45,1:56,,
Breath,1:56,2:02,,
Pace,2:02,2:14,,
Breath,2:14,2:21,,
Pace,2:21,2:29,,
Breath,2:29,2:39,,
Pace,2:39,3:00,,
Breath,0:00,2:48,M0V00009,
Pace,2:48,2:54,,
Breath,2:54,3:00,,
Breath,0:00,0:05,M0V00010,
Pace,0:05,0:14,,Control_Side
Breath,0:14,1:17,,
Pace,1:17,1:23,,ZM_Side
Smelled_Snail,1:23,1:31,,
Breath,1:31,3:00,,
Breath,0:00,0:49,M0V00011,
Smelled_ZM,0:49,1:04,,
Breath,1:04,1:33,,
Claw,1:33,1:46,,
Breath,1:46,3:00,,
Breath,0:00,3:00,M0V00012,
