Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Claw,1:40,2:00,MOV00000,Control_Side
Breath,2:00,2:11,,
Claw,2:11,2:58,,
Breath,2:58,3:00,,
Breath,0:00,0:03,MOV00001,
Pace,0:03,0:07,,
Breath,0:07,0:14,,
Pace,0:14,0:16,,
Breath,0:16,0:20,,
Claw,0:20,0:46,,
Breath,0:46,0:53,,
Claw,0:53,1:38,,
Breath,1:38,1:45,,
Claw,1:45,2:14,,
Breath,2:14,2:35,,
Claw,2:35,2:44,,
Pace,2:44,2:47,,
Breath,2:47,2:55,,
Claw,2:55,3:00,,
Claw,0:00,0:08,MOV00002,
Breath,0:08,0:13,,
Claw,0:13,1:52,,
Breath,1:52,2:09,,
Claw,2:09,2:20,,
Breath,2:20,2:26,,
Claw,2:26,2:41,,
Breath,2:41,2:51,,
Claw,2:51,3:00,,
Claw,0:00,0:14,MOV00003,
Breath,0:14,0:21,,
Claw,0:21,0:26,,
Breath,0:26,0:32,,
Pace,0:32,0:39,,
Breath,0:39,0:47,,
Claw,0:47,1:12,,
Breath,1:12,1:20,,
Claw,1:20,1:22,,
Breath,1:22,1:25,,ZM_Side
Pace,1:25,1:40,,Control_Side
Claw,1:40,2:01,,
Breath,2:01,2:12,,
Claw,2:12,2:24,,
Breath,2:24,2:33,,ZM_Side
Breath_Claw,2:33,2:54,,
Sit,2:54,3:00,,
Breath,0:00,0:08,MOV00004,
Pace,0:08,0:15,,Control_Side
Claw,0:15,0:21,,
Breath_Claw,0:21,0:31,,
Claw,0:31,1:02,,
Breath_Claw,1:02,1:06,,
Claw,1:06,1:21,,
Breath_Claw,1:21,1:27,,
Pace,1:27,1:34,,ZM_Side
Breath,1:34,1:41,,
Claw,1:41,2:00,,Control_Side
Breath,2:00,2:05,,
Breath_Claw,2:05,2:20,,
Pace,2:20,2:24,,
Breath_Claw,2:24,2:48,,
Claw,2:48,2:55,,ZM_Side
Sit,2:55,3:00,,
Claw,0:00,0:38,MOV00005,
Breath,0:38,0:54,,
Claw,0:54,1:08,,
Breath,1:08,1:11,,
Claw,1:11,1:41,,
Breath,1:41,1:55,,
Claw,1:55,2:11,,
Breath,2:11,2:17,,
Claw,2:17,2:41,,
Breath,2:41,2:45,,
Claw,2:45,2:50,,
Breath_Claw,2:50,3:00,,
Breath,0:00,0:04,MOV00006,
Pace,0:04,0:10,,
Breath_Claw,0:10,1:14,,
Sit,1:14,1:18,,
Claw,1:18,1:45,,
Sit,1:45,1:50,,
Breath,1:50,2:04,,
Claw,2:04,2:30,,
Breath,2:30,2:35,,
Claw,2:35,2:53,,
Breath,2:53,3:00,,
Breath_Claw,0:00,0:05,MOV00007,
Claw,0:05,0:35,,
Breath,0:35,0:42,,
Claw,0:42,1:14,,
Breath_Claw,1:14,1:21,,
Pace,1:21,1:26,,Control_Side
Sit,1:26,1:34,,
Breath,1:34,1:39,,
Pace,1:39,1:48,,
Breath,1:48,1:52,,
Claw,1:52,2:25,,
Breath,2:25,2:32,,
Pace,2:32,2:35,,
Breath,2:35,2:39,,
Pace,2:39,2:42,,
Breath,2:42,2:47,,
Claw,2:47,3:00,,
Claw,0:00,0:16,MOV00008,
Breath,0:16,0:23,,
Pace,0:23,0:26,,
Breath,0:26,0:30,,
Pace,0:30,0:34,,ZM_Side
Claw,0:34,0:42,,
Breath,0:42,0:50,,
Claw,0:50,1:21,,
Breath,1:21,1:27,,
Claw,1:27,1:56,,
Breath,1:56,2:11,,
Claw,2:11,2:50,,
Breath,2:50,3:00,,
