Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Claw,0:10,1:47,MOV00001,Control_Side
Sit,1:47,2:14,,
Claw,2:14,3:00,,
Sit,0:00,0:14,MOV00002,
Claw,0:14,1:12,,
Breath,1:12,1:47,,
Claw,1:47,2:44,,
Breath,2:44,3:00,,
Breath,0:00,0:25,MOV00003,
Claw,0:25,0:46,,
Breath,0:46,0:57,,
Pace,0:57,1:09,,
Breath,1:09,1:23,,
Claw,1:23,2:32,,
Breath,2:32,2:51,,
Claw,2:51,3:00,,
Breath_Claw,0:00,2:24,MOV00004,
Breath,2:24,2:38,,
Pace,2:38,2:50,,
Breath,2:50,3:00,,
Breath_Claw,0:00,3:00,MOV00005,
Breath_Claw,0:00,0:16,MOV00006,
Sit,0:16,0:30,,
Breath_Claw,0:30,3:00,,
Breath_Claw,0:00,0:06,MOV00007,
Breath,0:06,0:18,,
Claw,0:18,1:06,,
Breath,1:06,1:23,,
Claw,1:23,3:00,,
Claw,0:00,0:41,MOV00008,
Breath,0:41,1:01,,
Breath_Claw,1:01,3:00,,
Claw,0:00,0:05,MOV0009,
Breath,0:05,0:20,,
Breath_Claw,0:20,3:00,,
Claw,0:00,0:36,MOV00010,
Breath,0:36,0:52,,
Claw,0:52,1:36,,
Breath,1:36,1:51,,
Breath_Claw,1:51,3:00,,
Breath,0:00,0:10,MOV00011,
Claw,0:10,0:55,,
Breath,0:55,1:04,,
Breath_Claw,1:04,3:00,,
Breath_Claw,0:00,3:00,MOV00012,
Breath,0:00,0:21,MOV00013,
Breath_Claw,0:21,1:38,,
Breath,1:38,1:49,,
Claw,1:49,2:15,,
Breath,2:15,2:26,,
Breath_Claw,2:26,3:00,,
Breath_Claw,0:00,3:00,MOV00014,
Breath_Claw,0:00,0:30,MOV00015,
Sit,0:30,0:58,,
Claw,0:58,3:00,,
Claw,0:00,0:48,MOV00016,
Breath,0:48,1:15,,
Breath_Claw,1:15,3:00,,
Claw,0:00,0:54,MOV00017,
Breath,0:54,1:05,,
Breath_Claw,1:05,3:00,,
Breath_Claw,0:00,2:44,MOV00018,
Breath,2:44,3:00,,
Breath,0:00,0:08,MOV00019,
Claw,0:08,1:07,,
Breath,1:07,1:24,,
Breath_Claw,1:24,1:56,,
Breath,1:56,2:13,,
Pace,2:13,2:26,,
Breath,2:26,2:34,,
