Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments,
Breath,0:00,2:09,MOV00022,,
Sit,2:09,3:00,,,
Claw,0:00,0:48,MOV00023,,
Smelled_Snail,0:48,1:11,,,
Ate_Snail,1:11,1:30,,,
Sit,1:30,1:51,,,
Pace,1:51,2:13,,,
Bit_At_ZM,2:13,2:56,,ZM_Side,
Breath,2:56,3:00,,,
Smelled_ZM,0:00,0:14,MOV00024,,
Breath,0:14,0:34,,,
Smelled_ZM,0:34,0:54,,,
Pace,0:54,1:33,,,
Ate_ZM,1:33,2:30,,,
Bit_At_ZM,2:30,2:57,,,
Breath,2:57,3:00,,,
Breath,0:00,0:05,MOV00025,,
Pace,0:05,1:06,,,
Breath,1:06,1:10,,,
Claw,1:10,1:29,,,
Ate_ZM,1:29,1:33,,,
Spit_Out_ZM,1:33,1:35,,,
Pace,1:35,2:04,,,
Breath,2:04,2:10,,,
Pace,2:10,3:00,,,
Pace,0:00,0:43,MOV00026,Control_Side,
Breath,0:43,0:48,,,
Pace,0:48,1:20,,,
Breath_Claw,1:20,2:05,,,
Pace,2:05,2:46,,,
Breath,2:46,3:00,,,
Breath,0:00,0:07,MOV00027,,
Pace,0:07,1:34,,,
Breath,1:34,1:43,,,
Pace,1:43,2:02,,,
Breath,2:02,2:11,,,
Pace,2:11,2:44,,,
Breath,2:44,2:52,,,
Pace,2:52,3:00,,,
Pace,0:00,0:56,MOV00028,,
Breath,0:56,1:05,,,
Pace,1:05,1:18,,,
Ate_ZM,1:18,3:00,,,
Ate_ZM,0:00,0:26,MOV00029,,
Pace,0:26,1:06,,,
Breath,1:06,1:13,,,
Bit_At_ZM,1:13,2:34,,,
Pace,2:34,2:53,,,
Breath,2:53,3:00,,,
Pace,0:00,0:12,MOV00030,,
Breath,0:12,0:19,,,
Pace,0:19,0:49,,ZM_Side,
Breath,0:49,1:00,,,
Pace,1:00,1:38,,Control_Side,
Breath,1:38,1:42,,,
Pace,1:42,1:49,,,
Bit_At_ZM,1:49,1:57,,,
Pace,1:57,2:09,,,
Claw,2:09,2:36,,,
Breath,2:36,2:50,,,
Claw,2:50,3:00,,,
Claw,0:00,0:39,MOV00031,,
Breath,0:39,1:02,,,
Sit,1:02,1:13,,,
Breath,1:13,1:24,,,
Pace,1:24,2:35,,ZM_Side,
Breath,2:35,2:41,,,
Pace,2:41,3:00,,Control_Side,
Pace,0:00,0:15,MOV00032,ZM_Side,
Breath_Claw,0:15,0:28,,,
Pace,0:28,0:40,,Control_Side,
Breath,0:40,0:46,,,
Pace,0:46,1:14,,,
Breath,1:14,1:21,,,
Claw,1:21,1:48,,,
Breath,1:48,1:54,,,
Claw,1:54,2:11,,,
Smelled_ZM,2:11,2:14,,,
Breath_Claw,2:14,3:00,,ZM_Side,
Claw,0:00,0:23,MOV00033,,
Breath,0:23,0:29,,,
Claw,0:29,0:41,,,
Smelled_ZM,0:41,0:53,,,
Breath,0:53,1:00,,,
Breath_Claw,1:00,1:42,,,
Smelled_ZM,1:42,1:50,,,
Breath_Claw,1:50,2:18,,,
Breath,2:18,2:47,,,
Claw,2:47,3:00,,,
Claw,0:00,0:16,MOV00034,,
Breath,0:16,0:59,,,
Claw,0:59,1:16,,,
Ate_Snail,1:16,1:21,,,
Spit_Out_Snail,1:21,1:23,,,
Pace,1:23,1:49,,,
Bit_At_ZM,1:49,2:00,,,
Pace,2:00,2:38,,Control_Side,
Breath,2:38,2:42,,,
Pace,2:42,3:00,,ZM_Side,
Pace,0:00,0:04,MOV00035,,
Breath,0:04,0:10,,,
Pace,0:10,0:18,,,
Bit_At_Snail,0:18,0:26,,,
Breath,0:26,0:35,,,
Breath_Claw,0:35,1:54,,,
Breath,1:54,2:15,,,
Pace,2:15,2:22,,,
Ate_Snail,2:22,3:00,,,
Pace,0:00,0:51,MOV00036,,
Claw,0:51,1:11,,,
Breath,1:11,1:22,,,
Breath_Claw,1:22,3:00,,,
Breath_Claw,0:00,0:24,MOV00037,,
Smelled_ZM,0:24,0:29,,,
Breath_Claw,0:29,1:13,,Control_Side,
Smelled_ZM,1:13,1:24,,ZM_Side,
Breath_Claw,1:24,2:20,,,
Breath,2:20,2:33,,,
Breath_Claw,2:33,3:00,,,
Breath_Claw,0:00,3:00,MOV00038,,
Breath_Claw,0:00,1:03,MOV00039,,
Breath,1:03,1:22,,,
Pace,1:22,1:32,,,
Breath,1:32,1:37,,,
Breath_Claw,1:37,3:00,,,
Breath_Claw,0:00,1:00,MOV00040,Control_Side,
Breath,1:00,1:09,,,
Claw,1:09,1:46,,,
Breath,1:46,2:04,,,
Breath_Claw,2:04,2:50,,ZM_Side,
Breath,2:50,3:00,,,
Breath,0:00,0:10,MOV00041,,
Claw,0:10,0:53,,,
Breath,0:53,0:57,,,
Breath_Claw,0:57,3:00,,,
Breath_Claw,0:00,1:04,MOV00042,Control_Side,END
