Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments,
Claw,0:10,0:34,MOV00001,Control_Side,
Breath,0:34,0:46,,,
Claw,0:46,1:26,,,
Breath,1:26,1:38,,,
Claw,1:38,1:58,,,
Breath,1:58,2:25,,,
Pace,2:25,2:55,,ZM_Side,
Breath,2:55,3:00,,,
Breath,0:00,0:03,MOV00002,,
Pace,0:03,0:50,,Control_Side,
Claw,0:50,1:17,,,
Breath,1:17,1:24,,,
Pace,1:24,1:44,,,
Breath,1:44,2:04,,,
Pace,2:04,2:10,,,
Breath,2:10,2:20,,,
Pace,2:20,2:29,,,
Breath,2:29,2:40,,,
Pace,2:40,3:00,,,
Breath_Claw,0:00,0:29,MOV00003,,
Breath,0:29,0:39,,,
Breath_Claw,0:39,1:16,,,
Breath,1:16,1:34,,,
Pace,1:34,2:00,,,
Breath_Claw,2:00,3:00,,,
Claw,0:00,0:11,MOV00004,,
Breath,0:11,0:16,,,
Breath_Claw,0:16,1:36,,,
Breath,1:36,1:43,,,
Pace,1:43,2:06,,ZM_Side,
Breath_Claw,2:06,2:54,,,
Ate_Snail,2:54,3:00,,,
Bit_At_ZM,0:00,0:41,MOV00005,,
Breath,0:41,1:25,,,
Pace,1:25,1:35,,,
Breath,1:35,1:53,,,
Pace,1:53,2:07,,Control_Side,
Claw,2:07,2:24,,,
Breath,2:24,2:28,,,
Breath_Claw,2:28,3:00,,,
Breath_Claw,0:00,1:19,MOV00006,,
Breath,1:19,1:27,,,
Claw,1:27,1:42,,,
Breath,1:42,1:49,,,
Claw,1:49,2:03,,,
Breath,2:03,2:08,,,
Breath_Claw,2:08,3:00,,,
Breath_Claw,0:00,2:40,MOV00007,,
Breath,2:40,2:49,,,
Claw,2:49,3:00,,,
Claw,0:00,0:18,MOV00008,,
Breath,0:18,0:22,,,
Breath_Claw,0:22,1:37,,,
Breath,1:37,1:41,,,
Claw,1:41,1:58,,,
Breath,1:58,2:04,,,
Claw,2:04,2:17,,,
Breath,2:17,2:24,,,
Claw,2:24,3:00,,,
Claw,0:00,0:32,MOV00009,,
Breath,0:32,0:39,,,
Claw,0:39,1:19,,,
Breath,1:19,1:24,,,
Breath_Claw,1:24,2:44,,,
Breath,2:44,2:51,,,
Claw,2:51,3:00,,,
Claw,0:00,0:35,MOV00010,,
Breath,0:35,0:58,,,
Claw,0:58,1:39,,,
Breath,1:39,3:00,,,
Breath,0:00,0:24,MOV00011,,
Pace,0:24,0:35,,,
Breath,0:35,0:39,,,
Claw,0:39,2:03,,,
Bit_Snail,2:03,2:32,,,
Pace,2:32,2:43,,,
Breath,2:43,3:00,,,
Breath,0:00,0:03,MOV00012,,
Claw,0:03,0:45,,,
Breath,0:45,0:58,,,
Breath_Claw,0:58,2:45,,,
Breath,2:45,2:53,,,
Claw,2:53,3:00,,,
Claw,0:00,0:23,MOV00013,,
Breath,0:23,0:28,,,
Breath_Claw,0:28,2:01,,,
Breath,2:01,2:25,,,
Claw,2:25,2:52,,,
Breath,2:52,3:00,,,
Breath,0:00,3:00,MOV00014,,
Breath,0:00,3:00,MOV00015,,
Breath,0:00,3:00,MOV00016,,
Breath,0:00,3:00,MOV00017,,
Breath,0:00,2:49,,,
Sit,2:49,3:00,MOV00018,,
Claw,0:00,0:45,MOV00019,,
Sit,0:45,1:35,,,
Breath,1:35,1:49,,,
Pace,1:49,2:22,,,
Breath,2:22,3:00,,,
Breath,0:00,3:00,MOV00020,,
Breath,0:00,3:00,MOV00021,,
