Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Breath,4:21,5:38,GOPR0214,Control_Side
Pace,5:38,6:42,,
Breath,6:42,7:04,,
Claw,7:04,8:55,,
Breath,8:55,9:07,,
Claw,9:07,12:04,,
Breath,12:04,12:13,,
Claw,12:13,15:12,,
Breath,15:12,15:27,,
Claw,15:27,16:43,,
Breath,16:43,16:57,,
Claw,16:57,17:34,,
Claw,0:00,2:41,GP010214,
Breath,2:41,2:50,,
Claw,2:50,4:08,,
Breath,4:08,4:18,,
Claw,4:18,6:27,,
Breath,6:27,6:38,,
Claw,6:38,8:39,,
Breath,8:39,8:51,,
Claw,8:51,11:22,,
Breath,11:22,11:38,,
Claw,11:38,17:03,,
Breath,17:03,17:10,,
Claw,17:10,17:34,,
Claw,0:00,2:39,GP020214,
Breath,2:39,2:58,,
Claw,2:58,4:43,,
Breath,4:43,4:53,,
Breath_Claw,4:53,10:05,,
Breath,10:05,10:28,,
Claw,10:28,12:32,,
Breath,12:32,12:58,,
Claw,12:58,14:24,,
Breath_Claw,14:24,14:32,,
Claw,14:32,17:16,,
Breath,17:16,17:32,,
Claw,17:32,17:34,,
Sit,0:00,0:05,GP030214,
Breath,0:05,0:16,,
Claw,0:16,1:34,,
Breath,1:34,1:43,,
Claw,1:43,2:18,,
Breath,2:18,2:37,,
Claw,2:37,3:02,,
Breath,3:02,3:39,,
Claw,3:39,5:22,,
Breath,5:22,6:21,,
Sit,6:21,6:46,,
Pace,6:46,6:51,,
Breath,6:51,7:01,,
Pace,7:01,7:07,,
Breath,7:07,7:39,,
Claw,7:39,8:35,,
Breath,8:35,9:14,,
Pace,9:14,9:22,,
Breath,9:22,9:43,,
Claw,9:43,12:25,,
Breath,12:25,16:22,,
Sit,16:22,17:09,,
Breath,17:09,17:34,,
Breath,0:00,3:57,GP040214,
Claw,3:57,4:54,,
Breath,4:54,10:52,,
Pace,10:52,11:41,,
Breath,11:41,12:06,,
Claw,12:06,13:12,,
Breath,13:12,13:27,,
Claw,13:27,14:13,,
Breath,14:13,14:28,,
Sit,14:28,14:57,,
Breath,14:57,17:09,,
Sit,17:09,17:34,,
Sit,0:00,1:27,GP050214,
Breath,1:27,2:13,,
Pace,2:13,2:34,,
Breath,2:34,2:46,,
Pace,2:46,3:16,,
Breath,3:16,3:27,,
Pace,3:27,4:04,,
Breath,4:04,4:15,,
Claw,4:15,6:07,,
Breath,6:07,11:51,,
Sit,11:51,15:56,,
Breath,15:56,17:04,,
Pace,17:04,17:10,,
Breath,17:10,17:21,,
Pace,17:21,17:34,,
Pace,0:00,0:03,GP060214,
Breath,0:03,0:13,,
Claw,0:13,2:22,,
Breath,2:22,5:01,,
Pace,5:01,5:26,,
Breath,5:26,6:03,,
Pace,6:03,6:11,,ZM_Side
Smelled_ZM,6:11,6:15,,
Bit_At_ZM,6:15,7:22,,
Breath,7:22,7:25,,
Smelled_ZM,7:25,7:34,,
Breath,7:34,7:44,,
Pace,7:44,8:18,,Control_Side
Breath,8:18,8:25,,
Pace,8:25,8:33,,
Breath,8:33,8:45,,
Pace,8:45,8:54,,
Bit_At_ZM,8:54,9:35,,
Breath,9:35,9:40,,
Pace,9:40,10:13,,
Breath,10:13,10:41,,
Pace,10:41,11:08,,
Claw,11:08,14:19,,
Breath,14:19,16:35,,
Pace,16:35,16:46,,
Breath,16:46,17:13,,
Claw,17:13,17:34,,
Claw,0:00,0:10,GP070214,
Breath,0:10,4:04,,
Sit,4:04,4:18,,
Pace,4:18,4:27,,
Bit_At_ZM,4:27,4:42,,
Breath,4:42,4:53,,
Pace,4:53,5:09,,
Claw,5:09,6:23,,END
