Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Claw,5:16,5:36, GOPR0213,ZM_Side
Breath,5:36,5:48,,
Claw,5:48,6:17,,
Breath,6:17,6:25,,
Breath_Claw,6:25,11:34,,
Claw,11:34,13:12,,
Breath_Claw,13:12,17:29,,Control_Side
Breath,17:29,17:34,,
Breath,0:00,0:04,GP010213,
Breath_Claw,0:04,4:04,,
Breath,4:04,4:18,,
Breath_Claw,4:18,11:57,,ZM_Side
Claw,11:57,12:53,,
Breath_Claw,12:53,13:34,,
Breath,13:34,13:54,,
Claw,13:54,15:29,,
Breath_Claw,15:29,15:58,,
Claw,15:58,16:38,,
Breath_Claw,16:38,17:34,,
Claw,0:00,0:48,GP020213,
Breath,0:48,0:58,,
Pace,0:58,1:15,,Control_Side
Breath,1:15,1:31,,
Breath_Claw,1:31,6:04,,
Pace,6:04,6:12,,ZM_Side
Breath,6:12,6:19,,
Breath_Claw,6:19,9:47,,
Breath,9:47,11:22,,
Claw,11:22,12:04,,
Breath_Claw,12:04,14:29,,
Breath,14:29,17:06,,
Claw,17:06,17:34,,
Claw,0:00,0:25,GP030213,
Breath,0:25,0:32,,
Claw,0:32,2:00,,
Breath,2:00,10:00,,
Claw,10:00,10:26,,
Breath,10:26,12:30,,
Claw,12:30,13:02,,
Breath,13:02,17:34,,
Breath,0:00,0:34,GP040213,
Pace,0:34,0:50,,
Breath_Claw,0:50,1:25,,
Breath,1:25,3:17,,
Breath_Claw,3:17,10:40,,
Breath,10:40,15:26,,
Breath_Claw,15:26,16:06,,
Breath,16:06,17:34,,
Breath,0:00,2:05,GP050213,
Pace,2:05,2:11,,
Breath,2:11,2:50,,
Claw,2:50,3:25,,
Breath,3:25,3:44,,
Breath_Claw,3:44,6:46,,
Breath,6:46,7:04,,
Breath_Claw,7:04,10:56,,
Breath,10:56,13:54,,
Breath_Claw,13:54,14:21,,
Breath,14:21,14:58,,
Claw,14:58,15:06,,
Ate_Snail,15:06,15:46,,
Breath,15:46,5:50,,END
