Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Sit,3:45,4:09,GOPRO0206,Started_When_People_Leave
Pace,4:09,4:47,,
Breath,4:47,4:51,,
Pace,4:51,5:28,,
Breath,5:28,6:02,,
Pace,6:02,6:27,,
Breath,6:27,7:04,,
Pace,7:04,7:12,,
Breath,7:12,7:32,,
Pace,7:32,8:11,,
Breath,8:11,8:35,,
Claw,8:35,11:05,,Control_Side
Breath,11:05,11:51,,
Claw,11:51,12:09,,
Breath,12:09,12:29,,
Pace,12:29,12:59,,
Breath,12:59,13:26,,
Pace,13:26,13:37,,
Breath,13:37,14:07,,Climbed_On_Wall
Claw,14:07,15:28,,
Breath,15:28,15:51,,
Claw,15:51,16:55,,
Breath_Pace,16:55,17:34,,ZM_Side
Breath,0:00,0:07,GP010206,
Pace,0:07,0:26,,Control_Side
Breath,0:26,0:37,,
Claw,0:37,2:30,,
Breath,2:30,2:40,,
Pace,2:40,2:51,,ZM_Side
Breath,2:51,3:09,,
Claw,3:09,3:23,,Control_Side
Breath,3:23,3:48,,
Pace,3:48,3:59,,
Breath,3:59,4:07,,
Claw,4:07,5:21,,
Breath,5:21,5:32,,
Claw,5:32,6:10,,
Breath,6:10,6:16,,
Pace,6:16,6:21,,
Breath,6:21,6:42,,
Claw,6:42,6:50,,
Breath,6:50,7:15,,
Claw,7:15,7:40,,
Breath,7:40,7:56,,
Claw,7:56,9:29,,
Breath,9:29,9:45,,
Claw,9:45,10:19,,
Breath,10:19,10:42,,
Claw,10:42,11:53,,
Breath,11:53,12:08,,
Claw,12:08,15:02,,
Breath,15:02,15:46,,
Claw,15:46,16:08,,
Breath,16:08,17:08,,
Claw,17:08,17:25,,
Breath,17:25,17:34,,
Breath,0:00,0:34,GP020206,
Pace,0:34,0:42,,ZM_Side
Breath,0:42,0:57,,
Pace,0:57,1:31,,Control_Side
Breath,1:31,1:55,,
Pace,1:55,2:12,,ZM_Side
Claw,2:12,3:40,,
Breath,3:40,3:55,,
Pace,3:55,4:00,,Control_Side
Breath,4:00,4:32,,
Claw,4:32,9:01,,Up_And_Down_The_Wall
Breath,9:01,10:14,,
Pace,10:14,10:36,,ZM_Side
Breath,10:36,11:04,,
Sit,11:04,11:09,,
Breath,11:09,11:21,,
Claw,11:21,16:39,,
Breath,16:39,17:14,,
Claw,17:14,17:27,,
Breath,17:27,17:34,,Control_Side
Breath,0:00,0:23,GP030206,
Pace,0:23,0:32,,ZM_Side
Breath,0:32,0:43,,
Claw,0:43,3:52,,Control_Side
Breath,3:52,4:11,,
Sit,4:11,4:19,,
Breath,4:19,4:38,,
Pace,4:38,4:48,,ZM_Side
Breath,4:48,5:11,,
Claw,5:11,6:51,,Control_Side
Breath,6:51,8:06,,
Pace,8:06,8:13,,ZM_Side
Breath,8:13,8:18,,
Claw,8:18,8:44,,
Breath,8:44,9:18,,
Claw,9:18,9:42,,
Breath,9:42,9:47,,
Pace,9:47,9:57,,Control_Side
Breath,9:57,10:05,,
Pace,10:05,10:18,,ZM_Side
Breath,10:18,10:19,,
Claw,10:19,13:47,,Control_Side
Breath,13:47,15:01,,
Pace,15:01,15:04,,
Breath,15:04,15:20,,
Claw,15:20,17:07,,
Breath,17:07,17:19,,
Claw,17:19,17:34,,
Pace,0:00,0:05,GP040206,Control_Side
Breath,0:05,1:04,,
Pace,1:04,1:08,,
Breath,1:08,1:15,,
Pace,1:15,1:38,,ZM_Side
Breath,1:38,1:50,,
Claw,1:50,5:29,,
Breath,5:29,5:55,,
Pace,5:55,6:10,,
Breath,6:10,6:22,,
Pace,6:22,6:30,,Control_Side
Breath,6:30,6:40,,
Claw,6:40,8:59,,
Sit,8:59,9:56,,Sat_In_Shell_People_Disrupted_Experiment
Breath,9:56,11:09,,
Pace,11:09,11:34,,ZM_Side
Breath,11:34,11:54,,
Pace,11:54,11:59,,
Breath,11:59,13:04,,
Pace,13:04,13:13,,Control_Side
Breath,13:13,13:42,,
Pace,13:42,13:47,,
Breath,13:47,14:00,,
Pace,14:00,14:09,,ZM_Side
Breath,14:09,14:23,,
Pace,14:23,14:27,,
Breath,14:27,14:35,,Stepping_All_Over_ZM
Pace,14:35,14:54,,Control_Side
Breath,14:54,15:09,,
Sit,15:09,15:15,,
Breath,15:15,15:20,,
Claw,15:20,16:42,,
Breath,16:42,16:56,,
Claw,16:56,17:34,,
Claw,0:00,0:46,GP050206,Control_Side
Breath,0:46,1:14,,
Pace,1:14,1:35,,
Breath,1:35,1:57,,
Pace,1:57,2:09,,ZM_Side
Breath,2:09,2:23,,
Pace,2:23,2:44,,Control_Side_ZM_Side
Claw,2:44,3:57,,
Breath,3:57,4:26,,
Claw,4:26,5:01,,
Breath,5:01,5:10,,
Pace,5:10,5:23,,Control_Side
Breath,5:23,5:37,,
Pace,5:37,5:54,,
Breath,5:54,6:02,,
Claw,6:02,8:47,,
Breath,8:47,8:59,,People_Present_In_Room
Sit,8:59,9:35,,People_Present_In_Room
Breath,9:35,9:41,,People_Present_In_Room
