Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Claw,1:19,1:35,MOV00001,
Breath,1:35,2:07,,
Breath_Claw,2:07,3:00,,
Breath_Claw,0:00,1:43,MOV00002,
Breath,1:43,2:13,,
Pace,2:13,2:38,,
Claw,2:38,2:49,,
Breath,2:49,3:00,,
Breath,0:00,0:03,MOV00003,
Claw,0:03,0:13,,
Breath,0:13,0:24,,
Breath_Claw,0:24,1:41,,
Breath,1:41,3:00,,
Breath,0:00,0:24,MOV00004,
Claw,0:24,1:15,,
Ate_ZM,1:15,3:00,,
Ate_ZM,0:00,0:32,MOV00005,
Claw,0:32,1:52,,
Ate_ZM,1:52,3:00,,
Ate_ZM,0:00,2:05,MOV00006,
Breath,2:05,2:13,,
Pace,2:13,2:26,,
Breath,2:26,2:32,,
Pace,2:32,3:00,,
Bit_At_ZM,0:00,0:14,MOV00007,
Pace,0:14,0:22,,
Breath,0:22,0:27,,
Pace,0:27,1:04,,
Ate_ZM,1:04,1:30,,
Breath,1:30,1:36,,
Pace,1:36,1:42,,
Ate_Snail,1:42,1:47,,
Pace,1:47,2:09,,
Breath,2:09,2:18,,
Pace,2:18,2:32,,
Ate_ZM,2:32,2:44,,
Pace,2:44,3:00,,
Pace,0:00,0:36,MOV00008,
Breath,0:36,0:49,,
Pace,0:49,1:34,,
Breath,1:34,2:29,,
Bit_At_ZM,2:29,3:00,,
Sit,0:00,0:04,MOV00009,
Breath,0:04,0:47,,
Pace,0:47,1:19,,
Breath,1:19,1:38,,
Sit,1:38,3:00,,
Sit,0:00,0:54,MOV00010,
Breath,0:54,1:47,,
Pace,1:47,1:53,,
Ate_ZM,1:53,3:00,,
Ate_ZM,0:00,0:59,MOV00011,
Pace,0:59,1:15,,
Ate_ZM,1:15,2:10,,
Smelled_ZM,2:10,2:56,,
Ate_ZM,2:56,3:00,,
Ate_ZM,0:00,3:00,MOV00012,
Ate_ZM,0:00,0:56,MOV00013,
Breath,0:56,1:04,,
Pace,1:04,2:43,,
Ate_Snail,2:43,3:00,,
Ate_Snail,0:00,0:15,MOV00014,
Breath,0:15,0:24,,
Pace,0:24,1:35,,
Breath,1:35,1:53,,
Bit_At_ZM,1:53,2:24,,
Pace,2:24,2:55,,
Bit_At_ZM,2:55,3:00,,
Bit_At_ZM,0:00,0:04,MOV00015,
Pace,0:04,0:37,,
Breath,0:37,0:45,,
Pace,0:45,0:51,,
Bit_At_Snail,0:51,1:07,,
Pace,1:07,1:28,,
Breath,1:28,1:51,,
Pace,1:51,2:35,,
Breath,2:35,3:00,,
Breath,0:00,1:40,MOV00016,
Pace,1:40,1:52,,
Bit_At_ZM,1:52,2:10,,
Pace,2:10,3:00,,
Pace,0:00,0:22,MOV00017,
Breath,0:22,3:00,,
Breath,0:00,3:00,MOV00018,
Breath,0:00,0:50,MOV00019,
Sit,0:50,2:24,,
Ate_Snail,2:24,2:57,,
Breath,2:57,3:00,,
Breath,0:00,0:28,MOV00020,
Pace,0:28,0:38,,
Ate_ZM,0:38,2:35,,
Breath,2:35,2:43,,
Pace,2:43,3:00,,
Ate_ZM,0:00,1:14,MOV00021,
Ate_Snail,1:14,1:26,,
Spit_Out_Snail,1:26,1:27,,
Breath,1:27,1:59,,
Pace,1:59,2:42,,
Breath,2:42,3:00,,
Breath,0:00,0:49,MOV00022,
Sit,0:49,3:00,,
Sit,0:00,0:51,MOV00023,
Breath,0:51,2:53,,
Sit,2:53,3:00,,
Sit,0:00,0:48,MOV00024,
Breath,0:48,1:12,,
Pace,1:12,1:41,,
Ate_ZM,1:41,3:00,,
Breath,0:00,0:13,MOV00025,
Pace,0:13,1:30,,
Bit_At_ZM,1:30,2:40,,
Breath,2:40,3:00,,
Breath,0:00,0:14,MOV00026,
Smelled_ZM,0:14,0:40,,
Breath,0:40,1:32,,
Sit,1:32,1:50,,
Breath,1:50,2:04,,
Sit,2:04,3:00,,
Sit,0:00,0:38,MOV00027,
Breath,0:38,3:00,,
Breath,0:00,0:37,MOV00028,
Bit_At_ZM,0:37,1:13,,
Breath,1:13,2:05,,
Pace,2:05,2:31,,
Bit_At_ZM,2:31,2:45,,
Sit,2:45,3:00,,
Sit,0:00,0:06,MOV00029,
Breath,0:06,1:17,,
Sit,1:17,1:59,,
Breath,1:59,3:00,,
Breath,0:00,1:44,MOV00030,
Sit,1:44,1:57,,
Breath,1:57,2:12,,
Sit,2:12,3:00,,
Sit,0:00,1:46,MOV00031,
Breath,1:46,3:00,,
Breath,0:00,1:00,MOV00032,
Pace,1:00,1:32,,
Breath,1:32,3:00,,
Breath,0:00,1:04,MOV00033,
Sit,1:04,1:20,,
Breath,1:20,1:47,,
Sit,1:47,3:00,,
Sit,0:00,0:53,MOV00034,
Breath,0:53,1:30,,
Pace,1:30,1:38,,
Breath,1:38,2:12,,
Pace,2:12,2:18,,
Bit_At_ZM,2:18,2:23,,
Pace,2:23,2:54,,
Breath,2:54,3:00,,
Breath,0:00,0:15,MOV00035,
Pace,0:15,0:51,,
Breath,0:51,1:07,,
Pace,1:07,1:20,,
Bit_At_ZM,1:20,2:01,,
Sit,2:01,3:00,,
Sit,0:00,0:03,MOV00036,
Breath,0:03,0:44,,
Claw,0:44,0:57,,
Breath,0:57,1:25,,
Claw,1:25,1:46,,
Breath,1:46,1:58,,
Pace,1:58,2:22,,
Breath,2:22,2:33,,
Pace,2:33,3:00,,
Breath,0:00,1:17,MOV00037,
Breath_Claw,1:17,1:56,,
Breath,1:56,2:27,,
Pace,2:27,3:00,,
Pace,0:00,0:11,MOV00038,
Breath,0:11,2:08,,
Pace,2:08,2:38,,
Breath,2:38,2:51,,
Sit,2:51,3:00,,
Sit,0:00,3:00,MOV00039,
Sit,0:00,3:00,MOV00040,
Sit,0:00,3:00,MOV00041,
Sit,0:00,2:31,MOV00042,
